Index, Timestamp, Temperatur in Grad Celsius
0, 788.0, 20.31
1, 1993.0, 20.31
2, 3197.0, 20.31
3, 4403.0, 20.37
4, 5608.0, 20.31
5, 6813.0, 20.31
6, 8017.0, 20.31
7, 9223.0, 20.31
8, 10428.0, 20.37
9, 11633.0, 20.31
10, 12838.0, 20.37
11, 14043.0, 20.37
12, 15248.0, 20.31
13, 16453.0, 20.37
14, 17658.0, 20.37
15, 18864.0, 20.31
16, 20069.0, 20.37
17, 21274.0, 20.37
18, 22478.0, 20.37
19, 23684.0, 20.31
20, 24889.0, 20.31
21, 26094.0, 20.31
22, 27299.0, 20.37
23, 28505.0, 20.37
24, 29709.0, 20.37
25, 30914.0, 20.31
