Index,deltaT
1,520.0
42,516.0
43,515.0
44,516.0
45,522.0
46,521.0
47,516.0
48,515.0
49,516.0
50,521.0
51,522.0
52,522.0
53,515.0
54,516.0
55,515.0
56,522.0
57,522.0
58,521.0
59,515.0
60,515.0
61,515.0
62,521.0
63,522.0
64,521.0
65,516.0
66,515.0
67,515.0
68,521.0
69,521.0
70,522.0
71,516.0
72,515.0
73,515.0
74,521.0
75,521.0
76,521.0
77,515.0
78,516.0
79,515.0
80,522.0
81,521.0
82,516.0
83,515.0
84,515.0
85,522.0
86,522.0
87,522.0
88,516.0
89,532.0
90,516.0
91,521.0
92,521.0
93,522.0
94,532.0
95,516.0
96,516.0
97,522.0
98,521.0
99,522.0
100,515.0
101,515.0
102,516.0
103,521.0
104,522.0
105,515.0
106,515.0
107,515.0
108,521.0
109,522.0
110,521.0
111,515.0
112,515.0
113,522.0
114,522.0
115,522.0
116,516.0
117,515.0
118,515.0
119,522.0
120,522.0
121,516.0
122,516.0
123,515.0
124,522.0
125,521.0
126,522.0
127,516.0
128,515.0
129,521.0
130,522.0
131,522.0
132,516.0
133,515.0
134,515.0
135,521.0
136,521.0
137,515.0
138,516.0
139,516.0
140,521.0
141,521.0
142,521.0
143,516.0
144,515.0
145,521.0
146,522.0
147,522.0
148,515.0
149,515.0
150,516.0
151,521.0
152,521.0
153,515.0
154,515.0
155,516.0
156,522.0
157,522.0
158,521.0
159,516.0
160,516.0
161,522.0
162,521.0
163,521.0
164,532.0
165,515.0
166,515.0
167,522.0
168,522.0
169,515.0
170,516.0
171,515.0
172,522.0
173,522.0
174,521.0
175,515.0
176,515.0
177,522.0
178,538.0
179,522.0
180,516.0
181,515.0
182,516.0
183,522.0
184,521.0
185,515.0
186,516.0
187,515.0
188,521.0
189,538.0
190,522.0
191,516.0
192,515.0
193,521.0
194,522.0
195,521.0
196,516.0
197,516.0
198,515.0
199,521.0
200,521.0
201,515.0
202,515.0
203,515.0
204,538.0
205,521.0
206,522.0
207,515.0
208,515.0
209,522.0
210,521.0
211,522.0
212,516.0
213,516.0
214,516.0
215,522.0
216,522.0
217,515.0
