Index,deltaT_us,distance_cm,timestamp_ms
8,5126.0,87.91,464.0
9,5196.0,89.11,521.0
10,6088.0,104.41,578.0
11,5600.0,96.04,635.0
12,6089.0,104.43,693.0
13,6113.0,104.84,750.0
14,4574.0,78.44,806.0
15,5572.0,95.56,863.0
16,4738.0,81.26,919.0
17,4805.0,82.41,975.0
18,4701.0,80.62,1031.0
19,4813.0,82.54,1087.0
20,4767.0,81.75,1143.0
21,4867.0,83.47,1200.0
22,4806.0,82.42,1256.0
23,4890.0,83.86,1312.0
24,4847.0,83.13,1369.0
25,4924.0,84.45,1425.0
26,4874.0,83.59,1481.0
27,4973.0,85.29,1538.0
28,5004.0,85.82,1594.0
29,5236.0,89.8,1650.0
30,5637.0,96.67,1708.0
31,5397.0,92.56,1764.0
32,5251.0,90.05,1821.0
33,5467.0,93.76,1878.0
34,5583.0,95.75,1935.0
35,5950.0,102.04,1992.0
36,5683.0,97.46,2049.0
37,5622.0,96.42,2106.0
38,5821.0,99.83,2163.0
39,5422.0,92.99,2220.0
40,5655.0,96.98,2277.0
41,5642.0,96.76,2334.0
42,5589.0,95.85,2391.0
43,5385.0,92.35,2448.0
44,5283.0,90.6,2504.0
45,5250.0,90.04,2562.0
46,5281.0,90.57,2618.0
47,5320.0,91.24,2674.0
48,5282.0,90.59,2732.0
49,5189.0,88.99,2788.0
50,5136.0,88.08,2844.0
51,5082.0,87.16,2900.0
52,5081.0,87.14,2957.0
53,5032.0,86.3,3013.0
54,4990.0,85.58,3069.0
55,4939.0,84.7,3126.0
56,4912.0,84.24,3182.0
57,4980.0,85.41,3238.0
58,4852.0,83.21,3295.0
59,4774.0,81.87,3351.0
60,4786.0,82.08,3407.0
61,4687.0,80.38,3464.0
62,4609.0,79.04,3520.0
63,4590.0,78.72,3575.0
64,4564.0,78.27,3632.0
65,4500.0,77.17,3687.0
66,4502.0,77.21,3743.0
67,4377.0,75.07,3799.0
68,4426.0,75.91,3855.0
69,4325.0,74.17,3910.0
70,4172.0,71.55,3966.0
71,4109.0,70.47,4022.0
72,4085.0,70.06,4077.0
73,4013.0,68.82,4132.0
74,3991.0,68.45,4188.0
75,3889.0,66.7,4243.0
76,3854.0,66.1,4298.0
77,3838.0,65.82,4354.0
78,3722.0,63.83,4409.0
79,3715.0,63.71,4463.0
80,3628.0,62.22,4518.0
81,3566.0,61.16,4574.0
82,3534.0,60.61,4628.0
83,3465.0,59.42,4683.0
84,3393.0,58.19,4739.0
85,3310.0,56.77,4793.0
86,3254.0,55.81,4847.0
87,3187.0,54.66,4902.0
88,3132.0,53.71,4957.0
89,3097.0,53.11,5011.0
90,3017.0,51.74,5065.0
91,2943.0,50.47,5120.0
92,2896.0,49.67,5174.0
93,2826.0,48.47,5228.0
94,2795.0,47.93,5282.0
95,2715.0,46.56,5337.0
96,2654.0,45.52,5391.0
97,2622.0,44.97,5444.0
98,2535.0,43.48,5498.0
99,2485.0,42.62,5552.0
100,2457.0,42.14,5606.0
101,2402.0,41.19,5660.0
102,2363.0,40.53,5713.0
103,2312.0,39.65,5768.0
104,2273.0,38.98,5821.0
105,2228.0,38.21,5874.0
106,2183.0,37.44,5928.0
107,2135.0,36.62,5982.0
108,2090.0,35.84,6035.0
109,2036.0,34.92,6088.0
110,1977.0,33.91,6142.0
111,1905.0,32.67,6196.0
112,1821.0,31.23,6249.0
113,1746.0,29.94,6302.0
114,1674.0,28.71,6354.0
115,1617.0,27.73,6408.0
116,1574.0,26.99,6461.0
117,1550.0,26.58,6514.0
118,1548.0,26.55,6566.0
119,1545.0,26.5,6620.0
120,1542.0,26.45,6673.0
121,1548.0,26.55,6725.0
122,1548.0,26.55,6778.0
123,1541.0,26.43,6832.0
124,1542.0,26.45,6885.0
125,1550.0,26.58,6937.0
126,1544.0,26.48,6990.0
127,1544.0,26.48,7044.0
128,1548.0,26.55,7096.0
129,1549.0,26.57,7149.0
130,1544.0,26.48,7202.0
131,1541.0,26.43,7256.0
132,1547.0,26.53,7308.0
133,1544.0,26.48,7361.0
134,1542.0,26.45,7414.0
135,1547.0,26.53,7467.0
136,1547.0,26.53,7520.0
137,1543.0,26.46,7573.0
138,1548.0,26.55,7626.0
139,1547.0,26.53,7678.0
140,1542.0,26.45,7732.0
141,1541.0,26.43,7785.0
142,1547.0,26.53,7837.0
143,1547.0,26.53,7890.0
144,1542.0,26.45,7944.0
145,1547.0,26.53,7997.0
146,1547.0,26.53,8049.0
147,1547.0,26.53,8102.0
148,1556.0,26.69,8156.0
149,1575.0,27.01,8208.0
150,1587.0,27.22,8261.0
151,1599.0,27.42,8314.0
152,1617.0,27.73,8368.0
153,1644.0,28.19,8421.0
154,1668.0,28.61,8473.0
155,1692.0,29.02,8526.0
156,1720.0,29.5,8580.0
157,1753.0,30.06,8633.0
158,1789.0,30.68,8686.0
159,1801.0,30.89,8739.0
160,1858.0,31.86,8793.0
161,1870.0,32.07,8846.0
162,1930.0,33.1,8899.0
163,1968.0,33.75,8952.0
164,2008.0,34.44,9006.0
165,2054.0,35.23,9060.0
166,2086.0,35.77,9113.0
167,2168.0,37.18,9166.0
168,2207.0,37.85,9220.0
169,2270.0,38.93,9274.0
170,2336.0,40.06,9327.0
171,2425.0,41.59,9381.0
172,2466.0,42.29,9436.0
173,2542.0,43.6,9489.0
174,2611.0,44.78,9543.0
175,2677.0,45.91,9597.0
176,2742.0,47.03,9652.0
177,2806.0,48.12,9706.0
178,2870.0,49.22,9760.0
179,2937.0,50.37,9815.0
180,2986.0,51.21,9869.0
181,3085.0,52.91,9923.0
182,3143.0,53.9,9977.0
183,3224.0,55.29,10033.0
184,3302.0,56.63,10087.0
185,3398.0,58.28,10142.0
186,3467.0,59.46,10196.0
187,3576.0,61.33,10252.0
188,3632.0,62.29,10307.0
189,3721.0,63.82,10362.0
190,3831.0,65.7,10418.0
191,3890.0,66.71,10473.0
192,3990.0,68.43,10528.0
193,4085.0,70.06,10584.0
194,4132.0,70.86,10640.0
195,4199.0,72.01,10695.0
196,4240.0,72.72,10750.0
197,4312.0,73.95,10807.0
198,4381.0,75.13,10862.0
199,4480.0,76.83,10918.0
200,4527.0,77.64,10975.0
201,4648.0,79.71,11031.0
202,4698.0,80.57,11086.0
203,4764.0,81.7,11143.0
204,4824.0,82.73,11199.0
205,4900.0,84.03,11255.0
206,4911.0,84.22,11312.0
207,4985.0,85.49,11369.0
208,5053.0,86.66,11425.0
209,5075.0,87.04,11482.0
210,5123.0,87.86,11538.0
211,5190.0,89.01,11595.0
212,5258.0,90.17,11652.0
213,5253.0,90.09,11708.0
214,5299.0,90.88,11765.0
215,5369.0,92.08,11822.0
216,5357.0,91.87,11879.0
217,5407.0,92.73,11935.0
218,5446.0,93.4,11993.0
219,5530.0,94.84,12050.0
220,5550.0,95.18,12106.0
221,5587.0,95.82,12164.0
222,5678.0,97.38,12221.0
223,5695.0,97.67,12278.0
224,5742.0,98.48,12335.0
225,5670.0,97.24,12392.0
226,5736.0,98.37,12449.0
227,5773.0,99.01,12507.0
228,5889.0,101.0,12564.0
229,5920.0,101.53,12621.0
230,5715.0,98.01,12679.0
231,5622.0,96.42,12736.0
232,5673.0,97.29,12793.0
233,5470.0,93.81,12850.0
234,6103.0,104.67,12907.0
235,5536.0,94.94,12964.0
236,5727.0,98.22,13022.0
237,5407.0,92.73,13079.0
238,5460.0,93.64,13135.0
239,6071.0,104.12,13193.0
240,5867.0,100.62,13250.0
241,5531.0,94.86,13307.0
242,4735.0,81.21,13364.0
243,6072.0,104.13,13421.0
244,6077.0,104.22,13479.0
245,6045.0,103.67,13537.0
246,6046.0,103.69,13594.0
247,6097.0,104.56,13651.0
248,6098.0,104.58,13709.0
249,6047.0,103.71,13767.0
250,6048.0,103.72,13825.0
251,6074.0,104.17,13882.0
252,6049.0,103.74,13939.0
253,6049.0,103.74,13998.0
254,6099.0,104.6,14055.0
255,6074.0,104.17,14112.0
256,6049.0,103.74,14170.0
257,6074.0,104.17,14228.0
258,6074.0,104.17,14285.0
259,6073.0,104.15,14343.0
260,6049.0,103.74,14400.0
261,6074.0,104.17,14458.0
262,6048.0,103.72,14516.0
263,6074.0,104.17,14573.0
264,6074.0,104.17,14630.0
265,6099.0,104.6,14689.0
266,6073.0,104.15,14746.0
267,6046.0,103.69,14803.0
268,6098.0,104.58,14861.0
269,6046.0,103.69,14919.0
270,6047.0,103.71,14977.0
271,6072.0,104.13,15034.0
272,6046.0,103.69,15091.0
273,6073.0,104.15,15149.0
274,6046.0,103.69,15207.0
275,6072.0,104.13,15264.0
276,6073.0,104.15,15322.0
277,6073.0,104.15,15379.0
278,6073.0,104.15,15437.0
279,6047.0,103.71,15495.0
280,6073.0,104.15,15552.0
281,6073.0,104.15,15609.0
282,6098.0,104.58,15668.0
