Index,deltaT_us,distance_cm,timestamp_ms
8,5794.0,99.37,461.0
9,5712.0,97.96,519.0
10,5739.0,98.42,576.0
11,5745.0,98.53,633.0
12,5744.0,98.51,690.0
13,5711.0,97.94,747.0
14,5739.0,98.42,804.0
15,5721.0,98.12,861.0
16,5744.0,98.51,918.0
17,5788.0,99.26,975.0
18,5764.0,98.85,1033.0
19,5739.0,98.42,1090.0
20,5719.0,98.08,1146.0
21,5762.0,98.82,1204.0
22,5764.0,98.85,1261.0
23,5711.0,97.94,1318.0
24,5719.0,98.08,1375.0
25,5748.0,98.58,1432.0
26,5712.0,97.96,1489.0
27,5713.0,97.98,1547.0
28,5739.0,98.42,1604.0
29,5746.0,98.54,1660.0
30,5763.0,98.84,1718.0
31,5764.0,98.85,1775.0
32,5789.0,99.28,1832.0
33,5789.0,99.28,1890.0
34,5744.0,98.51,1946.0
35,5770.0,98.96,2003.0
36,5739.0,98.42,2061.0
37,5764.0,98.85,2118.0
38,5789.0,99.28,2176.0
39,5795.0,99.38,2233.0
40,5795.0,99.38,2289.0
41,5813.0,99.69,2347.0
42,5738.0,98.41,2404.0
43,5738.0,98.41,2461.0
44,5789.0,99.28,2519.0
45,5795.0,99.38,2575.0
46,5795.0,99.38,2632.0
47,5740.0,98.44,2690.0
48,5713.0,97.98,2747.0
49,5738.0,98.41,2804.0
50,5745.0,98.53,2861.0
51,5745.0,98.53,2918.0
52,5739.0,98.42,2975.0
53,5712.0,97.96,3033.0
54,5814.0,99.71,3090.0
55,5795.0,99.38,3146.0
56,5719.0,98.08,3204.0
57,5738.0,98.41,3261.0
58,5739.0,98.42,3318.0
59,5813.0,99.69,3376.0
60,5770.0,98.96,3432.0
61,5820.0,99.81,3489.0
62,5712.0,97.96,3547.0
63,5738.0,98.41,3604.0
64,5712.0,97.96,3661.0
65,5745.0,98.53,3718.0
66,5720.0,98.1,3775.0
67,5790.0,99.3,3832.0
68,5741.0,98.46,3890.0
69,5764.0,98.85,3947.0
70,5770.0,98.96,4003.0
71,5745.0,98.53,4061.0
72,5714.0,98.0,4118.0
73,5714.0,98.0,4175.0
74,5714.0,98.0,4233.0
75,5745.0,98.53,4289.0
76,5765.0,98.87,4346.0
77,5764.0,98.85,4404.0
78,5789.0,99.28,4461.0
79,5762.0,98.82,4518.0
80,5795.0,99.38,4575.0
81,5719.0,98.08,4632.0
82,5739.0,98.42,4689.0
83,5738.0,98.41,4747.0
84,5764.0,98.85,4804.0
85,5770.0,98.96,4860.0
86,5740.0,98.44,4918.0
87,5738.0,98.41,4975.0
88,5789.0,99.28,5032.0
89,5738.0,98.41,5090.0
90,5745.0,98.53,5146.0
91,5738.0,98.41,5203.0
92,5739.0,98.42,5261.0
93,5738.0,98.41,5318.0
94,5718.0,98.06,5376.0
95,5745.0,98.53,5432.0
96,5738.0,98.41,5489.0
97,5712.0,97.96,5547.0
98,5711.0,97.94,5604.0
99,5744.0,98.51,5660.0
100,5716.0,98.03,5718.0
101,5738.0,98.41,5775.0
102,5713.0,97.98,5832.0
103,5739.0,98.42,5890.0
104,5745.0,98.53,5946.0
105,5794.0,99.37,6003.0
106,5718.0,98.06,6061.0
107,5788.0,99.26,6118.0
108,5710.0,97.93,6175.0
109,5711.0,97.94,6233.0
110,5717.0,98.05,6289.0
111,5770.0,98.96,6346.0
112,5738.0,98.41,6404.0
113,5788.0,99.26,6461.0
114,5788.0,99.26,6518.0
115,5710.0,97.93,6576.0
116,5764.0,98.85,6633.0
117,5719.0,98.08,6689.0
118,5769.0,98.94,6747.0
119,5763.0,98.84,6804.0
120,5789.0,99.28,6861.0
121,5789.0,99.28,6919.0
122,5712.0,97.96,6976.0
123,5718.0,98.06,7032.0
124,5795.0,99.38,7090.0
125,5746.0,98.54,7147.0
126,5712.0,97.96,7204.0
127,5789.0,99.28,7262.0
128,5740.0,98.44,7319.0
129,5764.0,98.85,7376.0
130,5744.0,98.51,7433.0
131,5744.0,98.51,7490.0
132,5739.0,98.42,7547.0
133,5739.0,98.42,7605.0
134,5739.0,98.42,7662.0
135,5764.0,98.85,7719.0
136,5819.0,99.8,7776.0
137,5770.0,98.96,7833.0
138,5738.0,98.41,7890.0
139,5763.0,98.84,7948.0
140,5739.0,98.42,8005.0
141,5763.0,98.84,8062.0
142,5716.0,98.03,8120.0
143,5770.0,98.96,8176.0
144,5745.0,98.53,8233.0
145,5711.0,97.94,8291.0
146,5712.0,97.96,8348.0
147,5763.0,98.84,8406.0
148,5764.0,98.85,8463.0
149,5745.0,98.53,8519.0
150,5744.0,98.51,8577.0
151,5814.0,99.71,8634.0
152,5713.0,97.98,8691.0
153,5740.0,98.44,8749.0
154,5712.0,97.96,8806.0
155,5769.0,98.94,8862.0
156,5744.0,98.51,8920.0
157,5789.0,99.28,8977.0
158,5712.0,97.96,9034.0
159,5713.0,97.98,9092.0
160,5740.0,98.44,9149.0
161,5719.0,98.08,9205.0
162,5718.0,98.06,9263.0
163,5790.0,99.3,9320.0
164,5764.0,98.85,9377.0
165,5739.0,98.42,9435.0
166,5740.0,98.44,9492.0
167,5719.0,98.08,9548.0
168,5747.0,98.56,9606.0
169,5765.0,98.87,9663.0
170,5789.0,99.28,9720.0
171,5739.0,98.42,9778.0
172,5790.0,99.3,9835.0
173,5789.0,99.28,9892.0
174,5720.0,98.1,9949.0
175,5794.0,99.37,10006.0
176,5737.0,98.39,10063.0
177,5739.0,98.42,10121.0
178,5739.0,98.42,10178.0
179,5739.0,98.42,10235.0
180,5764.0,98.85,10293.0
181,5738.0,98.41,10350.0
182,5768.0,98.92,10406.0
183,5795.0,99.38,10464.0
184,5743.0,98.49,10521.0
185,5738.0,98.41,10578.0
