Index,deltaT_us,distance_cm,timestamp_ms
9,655.0,11.23,466.0
10,625.0,10.72,519.0
11,625.0,10.72,571.0
12,655.0,11.23,622.0
13,625.0,10.72,674.0
14,625.0,10.72,727.0
15,631.0,10.82,778.0
16,625.0,10.72,830.0
17,625.0,10.72,882.0
18,631.0,10.82,933.0
19,631.0,10.82,986.0
20,625.0,10.72,1038.0
21,625.0,10.72,1090.0
22,655.0,11.23,1141.0
23,649.0,11.13,1193.0
24,649.0,11.13,1246.0
25,649.0,11.13,1298.0
26,631.0,10.82,1349.0
27,625.0,10.72,1401.0
28,625.0,10.72,1454.0
29,656.0,11.25,1505.0
30,655.0,11.23,1557.0
31,649.0,11.13,1609.0
32,649.0,11.13,1661.0
33,655.0,11.23,1713.0
34,655.0,11.23,1765.0
35,649.0,11.13,1817.0
36,649.0,11.13,1869.0
37,655.0,11.23,1921.0
38,649.0,11.13,1973.0
39,649.0,11.13,2025.0
40,649.0,11.13,2077.0
41,631.0,10.82,2128.0
42,625.0,10.72,2181.0
43,625.0,10.72,2233.0
44,625.0,10.72,2285.0
45,631.0,10.82,2336.0
46,625.0,10.72,2388.0
47,625.0,10.72,2441.0
48,631.0,10.82,2492.0
49,626.0,10.74,2544.0
50,626.0,10.74,2596.0
51,625.0,10.72,2649.0
52,631.0,10.82,2700.0
53,649.0,11.13,2752.0
54,649.0,11.13,2804.0
55,649.0,11.13,2856.0
56,655.0,11.23,2908.0
57,649.0,11.13,2960.0
58,649.0,11.13,3012.0
59,649.0,11.13,3064.0
60,655.0,11.23,3116.0
61,625.0,10.72,3168.0
62,625.0,10.72,3220.0
63,631.0,10.82,3271.0
64,656.0,11.25,3323.0
65,625.0,10.72,3376.0
66,625.0,10.72,3428.0
67,655.0,11.23,3479.0
68,625.0,10.72,3531.0
69,648.0,11.11,3584.0
70,652.0,11.18,3636.0
71,658.0,11.28,3687.0
72,625.0,10.72,3739.0
73,649.0,11.13,3791.0
74,649.0,11.13,3844.0
75,655.0,11.23,3895.0
76,649.0,11.13,3947.0
77,626.0,10.74,3999.0
78,631.0,10.82,4050.0
79,631.0,10.82,4103.0
80,625.0,10.72,4155.0
81,649.0,11.13,4207.0
82,631.0,10.82,4258.0
83,625.0,10.72,4311.0
84,625.0,10.72,4363.0
85,649.0,11.13,4415.0
86,631.0,10.82,4466.0
87,625.0,10.72,4518.0
88,625.0,10.72,4571.0
89,631.0,10.82,4622.0
90,631.0,10.82,4674.0
91,625.0,10.72,4726.0
92,624.0,10.7,4779.0
93,631.0,10.82,4830.0
94,625.0,10.72,4882.0
95,625.0,10.72,4934.0
96,626.0,10.74,4986.0
97,631.0,10.82,5038.0
98,625.0,10.72,5090.0
99,625.0,10.72,5142.0
100,631.0,10.82,5193.0
101,655.0,11.23,5245.0
102,625.0,10.72,5298.0
103,649.0,11.13,5350.0
104,630.0,10.8,5402.0
105,631.0,10.82,5453.0
106,625.0,10.72,5506.0
107,625.0,10.72,5558.0
108,625.0,10.72,5610.0
109,631.0,10.82,5661.0
110,625.0,10.72,5713.0
111,625.0,10.72,5766.0
112,624.0,10.7,5818.0
113,631.0,10.82,5869.0
114,631.0,10.82,5921.0
115,649.0,11.13,5974.0
116,649.0,11.13,6026.0
117,649.0,11.13,6078.0
118,656.0,11.25,6129.0
119,649.0,11.13,6181.0
120,649.0,11.13,6234.0
121,649.0,11.13,6286.0
122,655.0,11.23,6337.0
123,655.0,11.23,6389.0
124,649.0,11.13,6441.0
125,649.0,11.13,6494.0
126,649.0,11.13,6546.0
127,655.0,11.23,6597.0
128,655.0,11.23,6649.0
129,649.0,11.13,6702.0
130,649.0,11.13,6754.0
131,625.0,10.72,6806.0
132,631.0,10.82,6857.0
133,625.0,10.72,6909.0
134,625.0,10.72,6962.0
135,625.0,10.72,7014.0
136,631.0,10.82,7065.0
137,631.0,10.82,7117.0
138,625.0,10.72,7170.0
139,625.0,10.72,7222.0
140,631.0,10.82,7273.0
141,631.0,10.82,7325.0
142,625.0,10.72,7377.0
143,625.0,10.72,7430.0
144,631.0,10.82,7482.0
145,631.0,10.82,7533.0
146,625.0,10.72,7585.0
147,624.0,10.7,7638.0
148,625.0,10.72,7690.0
149,631.0,10.82,7741.0
150,625.0,10.72,7793.0
151,625.0,10.72,7845.0
152,649.0,11.13,7898.0
153,655.0,11.23,7949.0
154,655.0,11.23,8001.0
155,649.0,11.13,8053.0
156,649.0,11.13,8105.0
157,649.0,11.13,8158.0
158,655.0,11.23,8209.0
159,656.0,11.25,8261.0
160,649.0,11.13,8313.0
161,649.0,11.13,8366.0
162,649.0,11.13,8418.0
163,655.0,11.23,8469.0
164,649.0,11.13,8521.0
165,649.0,11.13,8573.0
166,625.0,10.72,8626.0
167,631.0,10.82,8677.0
168,631.0,10.82,8729.0
169,648.0,11.11,8781.0
170,649.0,11.13,8834.0
171,649.0,11.13,8886.0
172,655.0,11.23,8937.0
173,649.0,11.13,8989.0
174,649.0,11.13,9041.0
175,625.0,10.72,9094.0
176,631.0,10.82,9145.0
177,631.0,10.82,9197.0
178,625.0,10.72,9249.0
179,625.0,10.72,9302.0
180,629.0,10.79,9354.0
181,631.0,10.82,9405.0
182,626.0,10.74,9457.0
183,625.0,10.72,9509.0
184,625.0,10.72,9562.0
185,631.0,10.82,9613.0
186,625.0,10.72,9665.0
187,625.0,10.72,9717.0
188,649.0,11.13,9769.0
189,655.0,11.23,9821.0
190,655.0,11.23,9873.0
191,649.0,11.13,9925.0
192,649.0,11.13,9977.0
193,649.0,11.13,10030.0
194,631.0,10.82,10081.0
195,631.0,10.82,10133.0
196,625.0,10.72,10185.0
197,625.0,10.72,10237.0
198,625.0,10.72,10290.0
199,631.0,10.82,10341.0
200,631.0,10.82,10393.0
201,624.0,10.7,10445.0
202,625.0,10.72,10498.0
203,625.0,10.72,10550.0
204,631.0,10.82,10602.0
205,631.0,10.82,10653.0
206,625.0,10.72,10705.0
207,649.0,11.13,10758.0
208,649.0,11.13,10810.0
209,649.0,11.13,10862.0
210,655.0,11.23,10913.0
211,655.0,11.23,10966.0
212,649.0,11.13,11018.0
213,649.0,11.13,11070.0
214,625.0,10.72,11122.0
215,624.0,10.7,11174.0
216,631.0,10.82,11226.0
217,631.0,10.82,11278.0
218,625.0,10.72,11330.0
219,625.0,10.72,11382.0
220,625.0,10.72,11435.0
221,655.0,11.23,11486.0
222,655.0,11.23,11538.0
223,625.0,10.72,11590.0
224,649.0,11.13,11642.0
225,625.0,10.72,11695.0
226,631.0,10.82,11747.0
227,655.0,11.23,11798.0
228,649.0,11.13,11850.0
229,625.0,10.72,11902.0
230,649.0,11.13,11955.0
231,625.0,10.72,12007.0
232,631.0,10.82,12058.0
233,631.0,10.82,12110.0
234,625.0,10.72,12163.0
235,625.0,10.72,12215.0
236,625.0,10.72,12267.0
237,631.0,10.82,12318.0
238,631.0,10.82,12370.0
239,649.0,11.13,12423.0
240,625.0,10.72,12475.0
241,625.0,10.72,12527.0
242,625.0,10.72,12579.0
243,632.0,10.84,12631.0
244,631.0,10.82,12683.0
245,625.0,10.72,12735.0
246,625.0,10.72,12787.0
247,625.0,10.72,12839.0
248,631.0,10.82,12891.0
249,631.0,10.82,12943.0
250,625.0,10.72,12995.0
251,625.0,10.72,13047.0
252,625.0,10.72,13100.0
253,631.0,10.82,13151.0
254,631.0,10.82,13203.0
255,624.0,10.7,13255.0
256,625.0,10.72,13307.0
257,625.0,10.72,13360.0
258,631.0,10.82,13411.0
259,631.0,10.82,13463.0
260,625.0,10.72,13515.0
261,625.0,10.72,13568.0
262,625.0,10.72,13620.0
263,631.0,10.82,13672.0
264,631.0,10.82,13723.0
265,625.0,10.72,13775.0
266,649.0,11.13,13828.0
267,649.0,11.13,13880.0
268,649.0,11.13,13932.0
269,655.0,11.23,13983.0
270,655.0,11.23,14035.0
271,649.0,11.13,14088.0
272,650.0,11.15,14140.0
273,649.0,11.13,14192.0
274,649.0,11.13,14244.0
275,655.0,11.23,14296.0
276,655.0,11.23,14348.0
277,649.0,11.13,14400.0
278,649.0,11.13,14452.0
279,649.0,11.13,14504.0
280,649.0,11.13,14557.0
281,655.0,11.23,14608.0
282,655.0,11.23,14660.0
283,649.0,11.13,14712.0
284,625.0,10.72,14765.0
285,625.0,10.72,14817.0
286,625.0,10.72,14869.0
287,631.0,10.82,14920.0
288,655.0,11.23,14972.0
289,649.0,11.13,15025.0
290,649.0,11.13,15077.0
291,649.0,11.13,15129.0
292,655.0,11.23,15181.0
293,631.0,10.82,15233.0
294,625.0,10.72,15285.0
295,625.0,10.72,15337.0
