DAC,ADC0,ADC1,ADC2,ADC3
1148,11294,0,-1,-1
1152,11336,0,0,0
1156,11373,0,0,-1
1160,11403,0,0,-1
1164,11442,0,0,-1
1168,11478,0,0,-1
1172,11511,0,0,-1
1176,11550,0,-1,-1
1180,11584,0,0,-1
1184,11619,0,-1,-1
1188,11655,0,0,-1
1192,11691,0,0,-1
1196,11726,0,0,-1
1200,11761,0,0,-1
1204,11797,0,-1,-1
1208,11831,0,-1,-1
1212,11867,0,0,-1
1216,11902,0,-1,-1
1220,11945,0,0,-1
1224,11987,0,0,-1
1228,12029,0,0,-1
1232,12072,0,0,-1
1236,12113,0,0,0
1240,12152,0,0,-1
1244,12194,0,0,-1
1248,12236,0,0,-1
1252,12278,0,0,0
1256,12321,0,0,-1
1260,12363,0,0,-1
1264,12405,0,0,-1
1268,12447,0,0,-1
1272,12486,0,0,-1
1276,12525,1,0,-1
1280,12571,1,0,-1
1284,12608,0,0,-1
1288,12645,1,0,-1
1292,12682,1,0,-1
1296,12719,1,1,-1
1300,12755,1,1,-1
1304,12792,1,1,-1
1308,12826,2,1,-1
1312,12866,2,1,-1
1316,12900,2,1,-1
1320,12940,2,2,-1
1324,12974,3,2,-1
1328,13013,3,2,-1
1332,13048,4,3,-1
1336,13085,4,3,-1
1340,13123,4,4,-1
1344,13160,5,4,-1
1348,13198,6,6,-1
1352,13242,6,6,-1
1356,13282,7,7,-1
1360,13323,9,8,-1
1364,13366,10,10,-1
1368,13407,12,11,-1
1372,13446,13,13,-1
1376,13491,15,15,-1
1380,13531,17,17,-1
1384,13572,20,19,-1
1388,13613,22,23,-1
1392,13657,26,25,-1
1396,13696,29,29,-1
1400,13738,34,33,-1
1404,13779,38,37,-1
1408,13820,43,43,-1
1412,13858,48,48,-1
1416,13893,53,53,-1
1420,13928,59,58,-1
1424,13965,65,64,-1
1428,14002,72,71,-1
1432,14036,79,79,-1
1436,14071,87,86,-1
1440,14108,95,94,-1
1444,14143,103,103,-1
1448,14181,113,112,-1
1452,14218,123,123,-1
1456,14253,134,133,-1
1460,14289,145,143,0
1464,14326,157,156,-1
1468,14361,169,167,-1
1472,14399,181,180,-1
1476,14438,196,195,-1
1480,14480,213,211,-1
1484,14520,229,228,-1
1488,14565,246,245,-1
1492,14604,263,263,-1
1496,14646,282,281,-1
1500,14687,302,300,-1
1504,14731,322,320,0
1508,14772,342,341,-1
1512,14814,362,360,-1
1516,14856,383,381,-1
1520,14895,405,402,0
1524,14937,427,425,-1
1528,14977,448,447,-1
1532,15021,472,471,0
1536,15058,496,493,-1
1540,15096,516,513,-1
1544,15132,538,535,-1
