DAC,ADC0,ADC1,ADC2,ADC3
1148,11288,0,-1,-1
1152,11327,0,-1,-1
1156,11364,0,-1,-1
1160,11401,0,-1,-1
1164,11439,-1,0,-1
1168,11473,0,-1,-1
1172,11506,-1,-1,-1
1176,11543,0,0,-1
1180,11577,0,0,-1
1184,11614,0,-1,-1
1188,11650,-1,-1,-1
1192,11687,0,0,-1
1196,11721,0,-1,-1
1200,11757,0,-1,-1
1204,11792,0,-1,-1
1208,11828,0,-1,0
1212,11864,0,-1,-1
1216,11897,0,0,-1
1220,11940,0,0,-1
1224,11982,-1,-1,-1
1228,12024,0,0,-1
1232,12065,-1,0,-1
1236,12105,0,0,-1
1240,12146,0,-1,-1
1244,12186,0,0,-1
1248,12229,0,-1,-1
1252,12272,0,-1,-1
1256,12313,0,-1,-1
1260,12352,0,0,-1
1264,12396,0,-1,-1
1268,12437,0,-1,-1
1272,12480,0,0,-1
1276,12518,0,-1,-1
1280,12561,0,-1,-1
1284,12603,0,-1,-1
1288,12641,0,0,-1
1292,12675,0,-1,-1
1296,12710,-1,0,-1
1300,12750,-1,0,-1
1304,12785,0,0,-1
1308,12821,0,-1,-1
1312,12862,0,0,-1
1316,12894,0,-1,-1
1320,12934,0,-1,-1
1324,12969,-1,0,-1
1328,13005,0,-1,-1
1332,13043,0,-1,-1
1336,13079,0,0,-1
1340,13115,0,0,-1
1344,13152,0,-1,-1
1348,13195,0,0,-1
1352,13236,-1,0,-1
1356,13278,0,-1,-1
1360,13319,0,0,-1
1364,13359,0,-1,-1
1368,13402,-1,0,-1
1372,13441,0,-1,-1
1376,13488,0,0,-1
1380,13525,0,-1,-1
1384,13564,0,-1,-1
1388,13605,0,-1,-1
1392,13650,0,0,-1
1396,13692,0,-1,-1
1400,13733,0,-1,-1
1404,13773,0,-1,-1
1408,13816,0,0,-1
1412,13854,0,-1,-1
1416,13889,0,-1,-1
1420,13926,0,-1,-1
1424,13958,0,-1,-1
1428,13997,0,0,-1
1432,14034,0,0,-1
1436,14070,0,-1,-1
1440,14107,0,-1,-1
1444,14143,0,0,-1
1448,14181,0,-1,-1
1452,14218,0,-1,-1
1456,14254,-1,0,-1
1460,14286,0,-1,-1
1464,14326,0,-1,-1
1468,14360,0,0,-1
1472,14399,0,-1,-1
1476,14439,0,-1,-1
1480,14484,0,-1,-1
1484,14523,0,0,-1
1488,14565,0,0,-1
1492,14610,0,0,-1
1496,14648,0,0,-1
1500,14693,0,-1,-1
1504,14736,0,-1,-1
1508,14779,0,-1,-1
1512,14821,-1,-1,-1
1516,14862,0,0,-1
1520,14906,0,0,-1
1524,14947,0,-1,-1
1528,14990,0,-1,-1
1532,15030,0,-1,-1
1536,15077,0,-1,-1
1540,15111,0,0,-1
1544,15149,0,-1,-1
1548,15184,-1,0,0
1552,15222,0,-1,-1
1556,15258,0,-1,-1
1560,15294,-1,-1,-1
1564,15329,0,-1,0
1568,15365,0,0,-1
1572,15404,0,-1,-1
1576,15439,0,-1,-1
1580,15475,-1,0,-1
1584,15510,0,-1,-1
1588,15548,0,-1,-1
1592,15583,0,-1,-1
1596,15622,0,0,-1
1600,15658,0,-1,0
1604,15700,0,0,-1
1608,15742,0,-1,-1
1612,15782,0,0,-1
1616,15823,0,-1,-1
1620,15866,0,-1,-1
1624,15908,0,0,-1
1628,15948,0,-1,-1
1632,15992,0,-1,-1
1636,16031,0,-1,-1
1640,16073,-1,-1,-1
1644,16117,0,-1,-1
1648,16158,0,0,-1
1652,16200,0,0,-1
1656,16241,0,0,-1
1660,16283,0,-1,-1
1664,16324,0,-1,-1
1668,16362,-1,-1,-1
1672,16400,0,0,-1
1676,16437,0,0,-1
1680,16473,-1,-1,-1
1684,16507,0,0,-1
1688,16550,0,0,0
1692,16587,0,0,-1
1696,16622,0,-1,-1
1700,16660,0,0,-1
1704,16698,0,-1,-1
1708,16734,0,-1,-1
1712,16770,0,-1,-1
1716,16810,0,0,-1
1720,16844,0,0,-1
1724,16885,0,-1,-1
1728,16924,-1,-1,-1
1732,16963,0,0,-1
1736,17001,0,-1,-1
1740,17044,0,-1,-1
1744,17082,0,-1,-1
1748,17124,-1,-1,-1
1752,17162,0,-1,-1
1756,17203,0,0,-1
1760,17244,0,0,-1
1764,17286,0,0,-1
1768,17326,0,-1,-1
1772,17364,0,-1,-1
1776,17405,-1,-1,-1
1780,17444,0,0,-1
1784,17487,0,-1,-1
1788,17528,0,0,-1
1792,17567,0,0,-1
1796,17604,0,0,-1
1800,17637,0,-1,-1
1804,17675,0,0,-1
1808,17711,0,-1,-1
1812,17747,0,-1,-1
1816,17781,0,-1,-1
1820,17815,0,-1,-1
1824,17852,0,-1,-1
1828,17888,0,-1,-1
1832,17925,0,-1,-1
1836,17959,0,0,-1
1840,17996,0,-1,-1
1844,18030,0,0,-1
1848,18068,0,0,-1
