DAC,ADC0,ADC1,ADC2,ADC3
1148,11287,0,0,-1
1152,11331,0,-1,-1
1156,11366,0,-1,-1
1160,11403,-1,-1,-1
1164,11437,0,-1,-1
1168,11472,0,-1,-1
1172,11506,0,-1,-1
1176,11544,0,0,-1
1180,11579,0,-1,-1
1184,11615,0,0,-1
1188,11650,0,0,-1
1192,11685,0,-1,-1
1196,11723,0,-1,-1
1200,11757,0,-1,-1
1204,11791,0,0,-1
1208,11826,0,-1,-1
1212,11862,0,-1,-1
1216,11900,0,-1,-1
1220,11941,0,-1,-1
1224,11980,0,0,-1
1228,12023,0,-1,-1
1232,12065,0,-1,-1
1236,12109,0,-1,-1
1240,12148,0,-1,-1
1244,12190,-1,-1,-1
1248,12231,0,-1,-1
1252,12271,-1,-1,-1
1256,12315,0,0,-1
1260,12357,0,0,-1
1264,12398,0,0,-1
1268,12439,0,0,-1
1272,12481,0,-1,-1
1276,12524,-1,0,-1
1280,12562,0,0,-1
1284,12601,0,0,-1
1288,12640,0,0,-1
1292,12677,0,0,-1
1296,12712,0,0,-1
1300,12750,0,0,-1
1304,12787,0,0,-1
1308,12821,0,0,-1
1312,12856,-1,-1,-1
1316,12892,0,0,-1
1320,12932,0,-1,-1
1324,12970,0,0,-1
1328,13005,0,-1,-1
1332,13043,0,-1,-1
1336,13078,-1,0,-1
1340,13116,0,-1,-1
1344,13153,0,0,-1
1348,13192,0,-1,-1
1352,13232,0,-1,-1
1356,13277,-1,0,-1
1360,13317,0,0,-1
1364,13359,0,0,-1
1368,13399,0,-1,-1
1372,13441,0,0,-1
1376,13481,0,-1,-1
1380,13523,0,-1,-1
1384,13564,0,-1,-1
1388,13604,0,-1,-1
1392,13648,0,-1,-1
1396,13689,0,-1,-1
1400,13730,0,0,-1
1404,13771,0,0,-1
1408,13813,0,0,-1
1412,13849,0,0,-1
1416,13887,0,-1,-1
1420,13922,0,0,-1
1424,13959,0,0,-1
1428,13995,-1,-1,-1
1432,14033,0,0,-1
1436,14068,0,0,-1
1440,14107,0,0,-1
1444,14142,0,0,-1
1448,14178,0,-1,-1
1452,14215,0,-1,-1
1456,14252,0,-1,-1
1460,14286,0,0,-1
1464,14325,0,-1,-1
1468,14359,0,-1,-1
1472,14398,0,0,-1
1476,14438,0,0,-1
1480,14482,0,0,-1
1484,14524,0,0,-1
1488,14567,0,0,-1
1492,14611,0,-1,-1
1496,14651,0,0,-1
1500,14693,0,0,-1
1504,14736,0,0,-1
1508,14779,0,0,-1
1512,14821,0,0,-1
1516,14861,0,0,-1
1520,14905,0,0,-1
1524,14946,0,0,-1
1528,14990,0,0,-1
1532,15028,0,0,-1
1536,15070,0,-1,-1
1540,15108,0,0,-1
1544,15145,0,0,0
1548,15184,0,0,-1
1552,15221,0,0,-1
1556,15257,0,0,-1
1560,15292,0,0,-1
1564,15326,0,0,-1
1568,15365,0,0,-1
1572,15403,0,0,-1
1576,15437,0,0,-1
1580,15476,0,0,-1
1584,15511,0,0,-1
1588,15549,0,0,-1
1592,15584,0,0,-1
1596,15622,0,0,-1
1600,15656,0,0,-1
1604,15697,0,0,-1
1608,15741,0,0,-1
1612,15784,0,0,-1
1616,15824,0,1,-1
1620,15866,1,0,-1
1624,15907,1,0,-1
1628,15949,1,0,-1
1632,15991,1,0,-1
1636,16032,1,1,-1
1640,16072,1,0,-1
1644,16114,1,1,-1
1648,16157,1,1,-1
1652,16199,1,1,-1
1656,16240,1,1,-1
1660,16282,1,1,-1
1664,16325,1,1,-1
1668,16361,2,1,-1
1672,16394,1,1,0
1676,16435,2,2,-1
1680,16473,2,2,-1
1684,16509,2,2,-1
1688,16546,2,2,-1
1692,16584,2,2,-1
1696,16622,2,2,-1
1700,16658,2,2,-1
1704,16695,2,2,-1
1708,16728,3,2,-1
1712,16769,3,2,-1
1716,16810,3,3,-1
1720,16843,3,3,-1
1724,16880,3,3,-1
1728,16917,3,3,-1
1732,16961,3,3,-1
1736,16999,4,3,-1
1740,17042,4,3,-1
1744,17080,5,4,-1
1748,17122,4,4,-1
1752,17160,5,5,-1
1756,17203,5,5,-1
1760,17243,5,5,-1
1764,17281,6,6,-1
1768,17323,6,6,-1
1772,17362,6,6,-1
1776,17403,7,6,0
1780,17444,7,7,-1
1784,17482,7,7,-1
1788,17523,8,7,-1
1792,17564,8,8,-1
1796,17603,9,8,-1
1800,17636,9,9,-1
1804,17673,9,9,-1
1808,17706,10,10,-1
1812,17741,10,10,-1
1816,17780,11,11,-1
1820,17817,11,11,-1
1824,17853,12,12,-1
1828,17889,13,12,-1
1832,17925,13,13,-1
1836,17959,14,13,-1
1840,17993,14,14,-1
1844,18031,15,15,-1
1848,18067,16,15,-1
1852,18102,17,16,-1
1856,18139,17,17,-1
1860,18179,18,18,-1
1864,18222,19,19,0
