DAC,ADC0,ADC1,ADC2,ADC3
0,9,0,-1,0
4,40,0,0,-1
8,82,0,0,-1
12,122,0,-1,-1
16,163,0,0,-1
20,204,0,0,-1
24,247,0,0,-1
28,286,-1,-1,-1
32,327,0,-1,-1
36,368,0,-1,-1
40,408,0,-1,-1
44,451,0,0,-1
48,493,0,-1,-1
52,533,0,0,-1
56,574,0,-1,-1
60,613,0,0,-1
64,654,0,-1,-1
68,699,0,-1,-1
72,739,0,-1,-1
76,780,0,0,-1
80,821,0,0,-1
84,863,0,-1,-1
88,906,0,0,-1
92,945,0,0,-1
96,985,0,0,-1
100,1029,0,-1,-1
104,1068,0,-1,-1
108,1110,0,0,-1
112,1155,0,0,-1
116,1195,0,-1,-1
120,1235,0,0,-1
124,1276,0,0,-1
128,1316,-1,-1,-1
132,1358,0,0,-1
136,1392,0,-1,-1
140,1428,0,0,-1
144,1465,0,-1,-1
148,1502,-1,0,-1
152,1538,0,-1,-1
156,1576,0,-1,-1
160,1614,0,0,-1
164,1650,0,0,-1
168,1686,0,0,-1
172,1724,0,-1,-1
176,1760,0,0,-1
180,1794,0,-1,-1
184,1832,0,-1,-1
188,1869,0,-1,-1
192,1908,0,0,-1
196,1946,0,0,-1
200,1990,0,0,-1
204,2031,0,0,-1
208,2070,0,-1,-1
212,2114,-1,0,-1
216,2152,0,0,-1
220,2195,0,0,-1
224,2234,0,-1,-1
228,2277,0,-1,-1
232,2317,0,0,-1
236,2359,0,0,-1
240,2399,0,0,-1
244,2440,0,0,-1
248,2480,0,0,-1
252,2525,0,0,-1
256,2563,0,-1,-1
260,2599,0,0,-1
264,2635,0,-1,-1
268,2672,0,-1,-1
272,2709,0,-1,0
276,2744,0,-1,-1
280,2779,0,0,-1
284,2817,0,-1,-1
288,2851,-1,0,-1
292,2889,0,-1,-1
296,2926,0,0,-1
300,2962,0,-1,-1
304,2998,0,-1,-1
308,3032,0,-1,-1
312,3069,0,-1,-1
316,3105,0,0,-1
320,3143,0,0,-1
324,3183,0,0,-1
328,3226,0,0,-1
332,3269,0,0,-1
336,3312,0,0,-1
340,3352,-1,-1,-1
344,3397,0,0,0
348,3437,0,0,-1
352,3482,0,-1,-1
356,3521,0,0,-1
360,3564,0,-1,-1
364,3606,0,-1,-1
368,3649,0,0,-1
372,3691,0,-1,-1
376,3731,0,-1,-1
380,3775,0,0,-1
384,3818,0,0,-1
388,3852,0,0,-1
392,3892,0,0,-1
396,3929,0,-1,-1
400,3967,0,-1,-1
404,4005,0,0,-1
408,4041,0,-1,-1
412,4079,0,0,-1
416,4117,0,0,-1
420,4154,0,-1,0
424,4189,0,-1,-1
428,4229,0,0,-1
432,4265,0,-1,-1
436,4301,-1,-1,-1
440,4339,0,-1,-1
444,4377,0,0,0
448,4414,0,-1,-1
452,4457,0,-1,-1
456,4499,0,-1,-1
460,4546,0,0,-1
464,4589,0,-1,-1
468,4630,0,-1,-1
472,4670,0,-1,-1
476,4714,0,0,-1
480,4760,-1,-1,-1
484,4802,0,0,-1
488,4846,0,0,-1
492,4889,0,0,-1
496,4932,0,0,-1
500,4976,0,-1,-1
504,5018,0,-1,-1
508,5061,0,0,-1
512,5105,0,0,-1
516,5141,0,0,-1
520,5177,0,0,-1
524,5217,0,0,-1
528,5250,0,0,-1
532,5287,0,0,-1
536,5322,0,0,-1
540,5359,0,0,-1
544,5393,0,0,-1
548,5432,0,0,-1
552,5467,0,0,-1
556,5503,0,0,-1
560,5542,0,0,0
564,5577,0,0,-1
568,5612,0,0,-1
572,5648,0,0,-1
576,5684,0,-1,-1
580,5726,0,-1,-1
584,5767,0,0,-1
588,5807,0,0,-1
592,5850,0,0,-1
596,5891,0,0,-1
600,5932,0,0,-1
604,5975,0,0,-1
608,6018,0,0,-1
612,6057,0,0,-1
616,6100,0,0,-1
620,6139,1,0,-1
624,6180,1,0,-1
628,6223,1,1,-1
632,6265,1,1,-1
636,6306,1,0,-1
640,6348,1,1,-1
644,6384,1,1,-1
648,6420,1,1,-1
652,6454,2,1,-1
656,6494,2,1,-1
660,6530,2,2,-1
664,6566,2,2,-1
668,6600,2,2,-1
672,6637,3,2,-1
676,6673,3,3,-1
680,6710,3,3,-1
684,6746,3,3,-1
688,6780,4,4,-1
692,6818,4,4,-1
696,6854,5,4,-1
700,6889,5,5,-1
704,6927,5,5,-1
708,6969,6,6,-1
712,7009,7,6,-1
716,7052,8,7,0
720,7092,8,8,-1
724,7134,9,9,-1
728,7174,11,10,-1
732,7217,11,11,-1
736,7260,13,12,-1
740,7302,14,14,-1
744,7343,16,16,-1
748,7385,18,17,-1
752,7425,19,19,-1
756,7466,21,21,-1
760,7507,24,23,-1
764,7550,27,26,0
768,7590,29,28,-1
772,7629,32,31,-1
776,7667,35,34,-1
780,7703,38,37,-1
784,7740,42,41,-1
788,7774,45,44,-1
792,7813,49,48,-1
796,7847,54,53,-1
800,7886,59,57,-1
804,7923,64,62,-1
808,7959,69,68,-1
812,7994,75,74,0
816,8032,81,80,-1
820,8068,88,86,-1
824,8105,95,94,-1
828,8140,103,102,-1
832,8178,112,110,-1
836,8217,123,120,-1
840,8261,133,131,-1
844,8302,144,143,-1
848,8343,157,155,-1
852,8385,171,168,-1
856,8425,184,182,-1
860,8469,199,196,-1
864,8509,214,211,-1
868,8550,231,228,-1
872,8592,249,245,-1
876,8633,266,262,-1
880,8675,285,281,-1
884,8715,304,300,-1
888,8756,324,319,-1
892,8796,345,341,-1
896,8837,367,361,-1
900,8875,386,380,-1
904,8911,405,400,-1
908,8946,425,419,-1
912,8980,445,440,-1
916,9017,466,459,-1
920,9054,488,481,-1
924,9088,509,501,-1
928,9123,531,524,-1
932,9159,554,546,-1
936,9195,577,569,-1
940,9229,600,591,-1
944,9266,623,614,-1
948,9302,646,637,-1
952,9338,672,662,-1
956,9372,695,684,-1
960,9408,719,710,-1
964,9450,748,737,-1
968,9490,775,765,-1
972,9531,807,795,-1
976,9570,835,822,-1
980,9613,865,853,-1
984,9653,894,882,-1
988,9694,925,912,-1
992,9737,956,943,-1
996,9775,986,971,-1
1000,9815,1017,1002,-1
1004,9856,1048,1035,-1
1008,9899,1080,1066,-1
1012,9938,1111,1095,-1
1016,9978,1142,1126,-1
1020,10019,1174,1157,-1
1024,10061,1206,1189,-1
1028,10098,1236,1218,-1
1032,10132,1263,1245,-1
1036,10166,1290,1272,-1
1040,10202,1319,1301,-1
1044,10239,1348,1329,-1
1048,10273,1375,1358,-1
1052,10308,1405,1384,-1
1056,10342,1433,1413,-1
1060,10379,1463,1442,-1
1064,10415,1492,1471,-1
1068,10449,1519,1500,-1
1072,10485,1549,1528,-1
1076,10518,1579,1556,-1
1080,10556,1607,1585,-1
1084,10590,1636,1615,-1
1088,10625,1665,1643,-1
1092,10664,1699,1676,-1
1096,10704,1731,1708,-1
1100,10744,1764,1742,-1
1104,10785,1799,1775,-1
1108,10825,1832,1808,-1
1112,10862,1865,1839,-1
1116,10903,1901,1874,-1
1120,10943,1933,1907,-1
1124,10982,1967,1942,-1
1128,11022,2001,1974,-1
1132,11061,2035,2007,-1
1136,11100,2069,2041,-1
1140,11141,2102,2072,-1
1144,11179,2136,2109,-1
1148,11218,2170,2141,-1
1152,11258,2205,2174,-1
1156,11293,2236,2204,-1
1160,11327,2265,2234,-1
1164,11365,2294,2264,-1
1168,11398,2326,2292,-2
1172,11431,2355,2323,-1
1176,11466,2386,2352,-1
1180,11500,2414,2381,-1
1184,11534,2444,2412,-1
1188,11570,2474,2442,-1
1192,11604,2504,2471,-2
1196,11637,2535,2501,-1
1200,11671,2565,2530,-1
1204,11708,2596,2562,-1
1208,11742,2627,2592,-1
1212,11774,2656,2619,-1
1216,11811,2687,2650,-1
1220,11849,2722,2684,-1
1224,11889,2757,2720,-1
1228,11930,2792,2755,-1
1232,11968,2828,2789,-1
1236,12009,2863,2825,-2
1240,12050,2898,2859,-1
1244,12090,2933,2895,-1
1248,12130,2971,2930,-2
1252,12169,3006,2965,-1
1256,12210,3043,3001,-1
1260,12251,3079,3037,-1
1264,12291,3114,3073,-1
1268,12330,3151,3109,-1
1272,12372,3186,3142,-1
1276,12412,3222,3179,-1
1280,12453,3259,3216,-1
1284,12490,3290,3246,-1
1288,12523,3322,3277,-1
1292,12560,3355,3310,-1
1296,12594,3386,3339,-1
1300,12631,3418,3372,-2
1304,12664,3449,3401,-1
1308,12698,3482,3434,-2
1312,12736,3514,3465,-1
1316,12769,3544,3496,-1
1320,12807,3578,3529,-2
1324,12840,3608,3558,-1
1328,12876,3641,3591,-1
1332,12911,3674,3623,-1
1336,12946,3703,3655,-2
1340,12983,3735,3686,-1
1344,13018,3769,3719,-1
1348,13059,3804,3753,-2
1352,13096,3840,3789,-1
1356,13137,3877,3823,-2
1360,13177,3913,3860,-2
1364,13217,3949,3895,-1
1368,13256,3985,3931,-1
1372,13296,4022,3966,-2
1376,13336,4057,4001,-2
1380,13376,4094,4039,-1
1384,13416,4132,4078,-1
1388,13456,4168,4110,-1
1392,13495,4205,4146,-2
1396,13534,4239,4181,-2
1400,13573,4274,4219,-2
1404,13614,4312,4253,-1
1408,13655,4351,4289,-2
1412,13690,4382,4321,-1
1416,13724,4413,4353,-1
1420,13759,4444,4384,-1
1424,13795,4477,4416,-2
1428,13826,4508,4447,-2
1432,13863,4541,4479,-2
1436,13898,4572,4510,-2
1440,13931,4603,4541,-2
1444,13967,4636,4570,-2
1448,13999,4668,4603,-2
1452,14035,4700,4636,-2
1456,14072,4731,4667,-2
1460,14105,4761,4696,-2
1464,14140,4795,4729,-2
1468,14174,4827,4758,-2
1472,14210,4859,4792,-2
1476,14252,4898,4830,-2
1480,14291,4933,4866,-2
1484,14333,4973,4904,-2
1488,14369,5009,4940,-2
1492,14413,5046,4977,-2
1496,14452,5083,5014,-2
1500,14495,5119,5051,-2
1504,14535,5161,5089,-2
1508,14573,5196,5124,-2
1512,14612,5232,5159,-2
1516,14655,5272,5197,-2
1520,14697,5309,5236,-2
1524,14735,5345,5272,-2
1528,14777,5382,5309,-2
1532,14817,5421,5347,-2
1536,14856,5456,5383,-2
1540,14891,5488,5413,-2
1544,14929,5522,5446,-2
1548,14960,5554,5477,-2
1552,14994,5588,5508,-2
1556,15032,5618,5543,-2
1560,15067,5651,5576,-2
1564,15100,5682,5606,-2
1568,15135,5716,5637,-2
1572,15170,5749,5671,-2
1576,15205,5779,5700,-2
1580,15239,5810,5730,-2
1584,15275,5845,5763,-2
1588,15307,5875,5794,-2
1592,15342,5910,5828,-2
1596,15378,5941,5861,-2
1600,15414,5973,5890,-2
1604,15453,6009,5927,-2
1608,15492,6049,5966,-2
1612,15532,6087,6000,-2
1616,15573,6121,6039,-2
1620,15612,6159,6074,-2
1624,15649,6197,6108,-2
1628,15690,6234,6146,-2
1632,15729,6269,6182,-2
1636,15770,6304,6219,-2
1640,15794,6330,6242,-2
1644,15800,6333,6245,-2
1648,15800,6334,6247,-2
1652,15801,6335,6249,-2
1656,15803,6338,6250,-2
1660,15807,6339,6250,-2
1664,15804,6339,6251,-2
1668,15805,6340,6253,-2
1672,15806,6341,6254,-2
1676,15807,6341,6253,-2
1680,15806,6341,6254,-2
1684,15808,6342,6255,-2
1688,15807,6342,6255,-2
1692,15808,6343,6255,-2
1696,15808,6342,6255,-2
1700,15808,6343,6255,-2
1704,15808,6343,6256,-2
1708,15809,6344,6257,-2
1712,15810,6346,6256,-2
1716,15811,6346,6259,-2
1720,15810,6346,6259,-2
1724,15811,6346,6259,-2
1728,15810,6347,6259,-2
1732,15812,6347,6260,-2
1736,15812,6347,6260,-2
1740,15812,6347,6259,-2
1744,15811,6347,6260,-2
1748,15811,6347,6260,-2
1752,15813,6349,6261,-2
1756,15813,6348,6261,-2
1760,15814,6348,6262,-2
1764,15813,6349,6261,-2
1768,15815,6351,6262,-2
1772,15814,6350,6263,-2
1776,15815,6350,6263,-2
1780,15814,6350,6262,-2
1784,15814,6351,6263,-2
1788,15814,6350,6263,-2
1792,15814,6349,6263,-2
1796,15814,6349,6262,-2
1800,15814,6350,6262,-2
1804,15814,6350,6262,-2
1808,15812,6349,6262,-2
1812,15813,6350,6261,-2
1816,15814,6350,6263,-2
1820,15814,6350,6262,-2
