DAC,ADC0,ADC1,ADC2,ADC3
1148,11288,0,-1,-1
1152,11329,0,-1,-1
1156,11365,0,-1,-1
1160,11402,0,-1,-1
1164,11436,0,-1,-1
1168,11472,0,0,-1
1172,11506,0,-1,-1
1176,11541,0,-1,-1
1180,11577,0,-1,-1
1184,11613,0,-1,-1
1188,11647,0,0,-1
1192,11684,0,0,-1
1196,11719,0,-1,-1
1200,11756,0,0,-1
1204,11793,0,-1,-1
1208,11824,0,-1,-1
1212,11862,0,-1,-1
1216,11898,0,0,-1
1220,11939,0,-1,0
1224,11980,0,-1,-1
1228,12020,0,0,-1
1232,12062,0,0,-1
1236,12105,0,0,0
1240,12145,0,0,-1
1244,12188,0,0,-1
1248,12231,0,0,-1
1252,12271,0,0,0
1256,12311,0,0,-1
1260,12356,0,0,-1
1264,12396,0,0,-1
1268,12437,0,0,-1
1272,12479,0,0,-1
1276,12520,0,0,-1
1280,12561,0,0,-1
1284,12599,0,0,-1
1288,12638,0,0,-1
1292,12670,0,0,-1
1296,12709,0,0,-1
1300,12747,0,0,-1
1304,12784,0,0,-1
1308,12821,0,0,-1
1312,12859,1,0,-1
1316,12892,1,0,-1
1320,12932,1,1,-1
1324,12967,1,1,-1
1328,13005,1,1,-1
1332,13041,1,1,-1
1336,13078,2,1,-1
1340,13113,2,1,-1
1344,13151,2,1,-1
1348,13193,2,2,-1
1352,13231,2,2,-1
1356,13277,2,2,-1
1360,13316,3,3,0
1364,13359,3,3,-1
1368,13401,4,4,-1
1372,13443,4,4,-1
1376,13483,5,4,-1
1380,13521,6,5,-1
1384,13564,6,6,-1
1388,13604,7,7,-1
1392,13648,8,8,-1
1396,13688,9,9,0
1400,13729,11,10,-1
1404,13770,12,11,-1
1408,13813,13,13,-1
1412,13850,15,15,-1
1416,13887,16,16,-1
1420,13921,18,18,-1
1424,13958,20,20,-1
1428,13994,22,22,-1
1432,14031,24,24,-1
1436,14068,27,27,-1
1440,14103,30,29,-1
1444,14139,33,32,-1
1448,14175,36,36,-1
1452,14211,39,39,-1
1456,14248,44,44,-1
1460,14283,47,47,-1
1464,14318,52,52,-1
1468,14353,57,57,-1
1472,14391,62,62,-1
1476,14434,69,68,-1
1480,14475,76,75,-1
1484,14515,83,82,-1
1488,14558,91,90,-1
1492,14600,99,99,-1
