DAC,ADC0,ADC1,ADC2,ADC3
1148,11294,0,-1,-1
1152,11333,0,-1,-1
1156,11369,0,-1,-1
1160,11401,0,0,-1
1164,11439,0,0,-1
1168,11478,0,0,0
1172,11511,0,0,-1
1176,11547,0,0,-1
1180,11579,0,0,-1
1184,11618,0,-1,-1
1188,11654,0,-1,-1
1192,11688,0,0,-1
1196,11726,0,0,-1
1200,11759,0,0,-1
1204,11795,0,0,-1
1208,11829,0,0,-1
1212,11865,0,0,-1
1216,11901,0,0,-1
1220,11943,0,0,-1
1224,11984,0,-1,-1
1228,12025,0,-1,-1
1232,12071,0,0,-1
1236,12111,0,0,-1
1240,12148,0,0,-1
1244,12192,0,0,-1
1248,12234,0,0,-1
1252,12277,0,0,-1
1256,12319,0,0,-1
1260,12359,0,0,-1
1264,12401,0,0,-1
1268,12443,0,0,-1
1272,12484,0,0,-1
1276,12524,0,0,-1
1280,12567,0,0,-1
1284,12605,0,1,-1
1288,12641,1,1,-1
1292,12677,1,0,-1
1296,12716,1,0,-1
1300,12753,1,0,-1
1304,12789,1,1,-1
1308,12824,1,1,0
1312,12861,1,1,-1
1316,12899,2,1,0
1320,12937,1,1,-1
1324,12973,2,1,-1
1328,13010,2,1,-1
1332,13047,2,2,-1
1336,13084,3,2,-1
1340,13123,3,2,-1
1344,13158,3,2,-1
1348,13199,3,3,0
1352,13238,4,3,-1
1356,13281,5,4,-1
1360,13323,5,4,-1
1364,13364,6,5,-1
1368,13404,6,5,-1
1372,13446,7,6,-1
1376,13489,9,7,-1
1380,13530,9,8,-1
1384,13572,11,9,-1
1388,13612,13,10,-1
1392,13652,14,11,-1
1396,13694,16,13,-1
1400,13737,18,15,-1
1404,13777,20,17,-1
1408,13821,23,19,-1
1412,13857,26,21,-1
1416,13891,29,24,-1
1420,13929,32,27,-1
1424,13965,36,30,-1
1428,14002,39,33,-1
1432,14036,44,36,-1
1436,14074,49,41,-1
1440,14109,55,46,-1
1444,14146,60,50,-1
1448,14181,67,55,-1
1452,14215,73,61,-1
1456,14255,81,67,-1
1460,14289,88,73,-1
1464,14327,98,81,-1
1468,14362,107,89,-1
1472,14398,117,97,-1
1476,14443,130,108,-1
1480,14483,143,119,-1
1484,14528,157,131,-1
1488,14568,172,143,-1
1492,14607,188,156,-1
1496,14650,204,169,-1
1500,14693,222,185,-1
1504,14736,240,200,-1
1508,14776,259,216,-1
1512,14818,279,233,-1
1516,14860,300,250,-1
1520,14900,321,268,-1
1524,14942,342,285,-1
1528,14983,364,304,-1
1532,15025,388,323,-1
1536,15068,412,343,0
1540,15103,432,360,-1
1544,15142,455,379,-1
1548,15176,474,396,-1
1552,15212,497,413,-1
1556,15248,519,432,-1
1560,15285,542,451,-1
1564,15320,564,471,-1
1568,15358,587,491,-1
1572,15389,611,508,-1
1576,15426,633,527,-1
1580,15464,660,548,-1
1584,15501,682,570,-1
1588,15536,706,589,-1
1592,15569,731,610,-1
1596,15605,755,629,-1
1600,15643,780,650,-1
1604,15684,809,675,-1
1608,15725,839,700,-1
1612,15766,867,723,-1
1616,15805,898,747,-1
1620,15846,926,772,-1
1624,15886,956,797,-1
1628,15928,986,822,-1
1632,15968,1016,847,-1
1636,16010,1049,873,-1
1640,16051,1078,899,-1
1644,16093,1108,925,-1
1648,16132,1139,950,-1
1652,16172,1170,975,-1
1656,16212,1202,1000,-1
1660,16255,1236,1029,-1
1664,16297,1267,1055,-1
