DAC,ADC0,ADC1,ADC2,ADC3
1148,11287,0,-1,-1
1152,11327,0,0,-1
1156,11363,0,0,-1
1160,11398,0,0,-1
1164,11434,0,-1,-1
1168,11470,0,0,-1
1172,11505,0,-1,-1
1176,11542,0,-1,-1
1180,11576,0,0,-1
1184,11612,0,-1,-1
1188,11649,0,0,-1
1192,11685,0,0,-1
1196,11722,0,-1,-1
1200,11755,0,-1,-1
1204,11789,0,-1,-1
1208,11825,0,0,-1
1212,11864,0,-1,-1
1216,11897,-1,-1,-1
1220,11940,0,-1,0
1224,11981,0,-1,-1
1228,12022,-1,0,-1
1232,12066,0,-1,-1
1236,12108,-1,-1,-1
1240,12146,0,-1,-1
1244,12187,0,0,-1
1248,12231,-1,-1,-1
1252,12271,-1,-1,-1
1256,12315,0,0,-1
1260,12356,0,0,-1
1264,12398,0,-1,-1
1268,12436,0,0,-1
1272,12480,0,-1,-1
1276,12524,0,0,-1
1280,12562,-1,-1,-1
1284,12602,0,0,-1
1288,12638,0,0,-1
1292,12674,0,0,-1
1296,12711,0,-1,-1
1300,12748,0,-1,-1
1304,12785,0,-1,-1
1308,12820,0,-1,-1
1312,12860,0,-1,-1
1316,12894,0,0,-1
1320,12933,0,0,-1
1324,12968,0,-1,-1
1328,13004,0,0,-1
1332,13039,0,-1,-1
1336,13078,-1,-1,-1
1340,13113,0,-1,-1
1344,13150,0,-1,-1
1348,13193,0,-1,-1
1352,13231,0,-1,-1
1356,13276,0,-1,-1
1360,13318,-1,0,-1
1364,13359,0,-1,-1
1368,13400,0,-1,-1
1372,13444,-1,-1,-1
1376,13485,0,0,-1
1380,13526,0,0,-1
1384,13565,0,-1,-1
1388,13607,0,0,-1
1392,13648,0,-1,-1
1396,13690,0,0,-1
1400,13733,0,0,-1
1404,13776,0,-1,-1
1408,13816,-1,-1,-1
1412,13851,-1,-1,-1
1416,13889,0,0,0
1420,13923,-1,-1,-1
1424,13959,0,-1,-1
1428,13997,0,0,-1
1432,14034,0,0,-1
1436,14070,0,-1,-1
1440,14106,0,-1,-1
1444,14142,0,-1,-1
1448,14178,0,0,-1
1452,14214,0,0,-1
1456,14250,-1,-1,-1
1460,14288,0,-1,-1
1464,14322,0,0,-1
1468,14362,0,-1,-1
1472,14394,0,-1,-1
1476,14439,0,0,-1
1480,14480,0,0,-1
1484,14523,-1,-1,-1
1488,14566,0,-1,-1
1492,14607,0,-1,-1
1496,14649,0,0,-1
1500,14693,0,-1,-1
1504,14734,0,-1,-1
1508,14776,0,-1,-1
1512,14819,-1,0,-1
1516,14863,-1,0,-1
1520,14905,-1,-1,-1
1524,14946,0,-1,-1
1528,14987,0,-1,-1
1532,15031,-1,-1,-1
1536,15072,0,0,-1
1540,15109,0,0,-1
1544,15147,0,0,-1
1548,15186,0,0,-1
1552,15219,0,-1,-1
1556,15257,0,-1,-1
1560,15295,0,-1,-1
1564,15332,0,0,-1
1568,15367,0,-1,-1
1572,15403,0,-1,-1
1576,15438,0,0,-1
1580,15478,0,0,-1
1584,15513,0,0,-1
1588,15549,0,0,-1
1592,15586,0,0,-1
1596,15620,-1,-1,-1
1600,15657,0,-1,-1
1604,15701,-1,-1,-1
1608,15742,0,-1,-1
1612,15781,0,0,-1
1616,15824,0,0,-1
1620,15868,-1,-1,-1
1624,15907,0,0,-1
1628,15949,0,-1,-1
1632,15992,0,0,-1
1636,16033,0,0,-1
1640,16074,0,0,-1
1644,16117,0,0,-1
1648,16159,0,0,-1
1652,16197,0,-1,-1
1656,16239,0,0,-1
1660,16280,0,-1,-1
1664,16326,0,-1,-1
1668,16361,0,0,-1
1672,16397,0,0,-1
1676,16436,0,0,-1
1680,16474,0,0,-1
1684,16510,0,0,-1
1688,16548,0,-1,-1
1692,16584,0,-1,-1
1696,16621,0,0,-1
1700,16659,0,0,-1
1704,16697,0,-1,-1
1708,16734,0,0,-1
1712,16769,0,0,-1
1716,16807,-1,-1,-1
1720,16846,0,0,-1
1724,16883,-1,0,-1
1728,16922,-1,0,-1
1732,16961,0,0,-1
1736,17002,0,0,-1
1740,17040,0,-1,-1
1744,17081,0,-1,-1
1748,17123,0,0,-1
1752,17162,-1,-1,-1
1756,17203,-1,-1,-1
1760,17243,0,-1,-1
