DAC,ADC0,ADC1,ADC2,ADC3
1148,11286,0,-1,-1
1152,11328,0,0,-1
1156,11362,0,0,-1
1160,11397,0,0,-1
1164,11434,0,0,-1
1168,11470,0,-1,-1
1172,11503,-1,0,-1
1176,11540,-1,0,-1
1180,11577,0,-1,-1
1184,11612,0,0,-1
1188,11648,0,-1,-1
1192,11683,0,-1,-1
1196,11719,0,0,-1
1200,11754,-1,0,0
1204,11789,-1,-1,-1
1208,11823,0,-1,-1
1212,11863,0,0,-1
1216,11896,0,0,-1
1220,11936,-1,0,-1
1224,11976,0,-1,-1
1228,12020,0,-1,-1
1232,12061,0,-1,-1
1236,12104,0,-1,-1
1240,12143,0,0,-1
1244,12184,0,0,-1
1248,12230,0,-1,-1
1252,12270,0,-1,-1
1256,12311,0,-1,-1
1260,12352,0,-1,-1
1264,12395,-1,-1,-1
1268,12437,0,0,-1
1272,12477,0,-1,-1
1276,12520,-1,-1,-1
1280,12562,0,0,-1
1284,12598,0,-1,-1
1288,12636,0,0,0
1292,12674,0,0,-1
1296,12711,0,0,-1
1300,12746,0,0,-1
1304,12784,-1,0,-1
1308,12820,-1,-1,-1
1312,12858,-1,-1,-1
1316,12892,0,0,-1
1320,12931,0,-1,-1
1324,12967,0,-1,-1
1328,13004,0,0,-1
1332,13040,0,-1,-1
1336,13077,0,0,-1
1340,13115,0,0,-1
1344,13151,0,-1,-1
1348,13193,0,0,-1
1352,13231,-1,-1,-1
1356,13276,0,0,-1
1360,13317,0,-1,-1
1364,13357,0,-1,-1
1368,13399,0,0,-1
1372,13439,0,0,-1
1376,13483,0,0,-1
1380,13527,-1,-1,-1
1384,13564,0,0,-1
1388,13609,0,-1,-1
1392,13649,0,0,-1
1396,13690,0,-1,-1
1400,13729,0,-1,-1
1404,13773,0,0,-1
1408,13814,0,-1,-1
1412,13849,0,-1,-1
1416,13886,0,0,-1
1420,13923,0,-1,-1
1424,13959,0,-1,-1
1428,13996,0,-1,-1
1432,14031,0,0,-1
