DAC,ADC0,ADC1,ADC2,ADC3
1148,11288,0,0,-1
1152,11328,0,-1,-1
1156,11363,0,-1,-1
1160,11400,0,-1,-1
1164,11435,0,-1,-1
1168,11468,0,0,-1
1172,11506,0,0,-1
1176,11540,-1,-1,-1
1180,11575,-1,-1,-1
1184,11611,0,-1,-1
1188,11648,0,0,-1
1192,11682,0,-1,-1
1196,11720,0,-1,-1
1200,11753,0,-1,-1
1204,11789,0,0,-1
1208,11826,0,-1,-1
1212,11861,-1,-1,-1
1216,11895,0,-1,-1
1220,11937,-1,0,-1
1224,11978,-1,-1,-1
1228,12020,0,-1,-1
1232,12061,0,-1,-1
1236,12103,0,-1,-1
1240,12144,-1,0,-1
1244,12184,-1,-1,-1
1248,12229,0,0,-1
1252,12270,0,-1,-1
1256,12312,0,-1,-1
1260,12355,0,0,-1
1264,12397,0,0,-1
1268,12438,0,-1,-1
1272,12479,0,-1,-1
1276,12521,0,-1,-1
1280,12563,0,-1,-1
1284,12601,0,-1,-1
1288,12639,0,-1,-1
1292,12675,0,-1,-1
1296,12709,-1,0,-1
1300,12748,0,-1,-1
1304,12785,0,-1,-1
1308,12822,0,0,-1
1312,12858,0,-1,-1
1316,12895,0,-1,-1
1320,12930,0,-1,-1
1324,12968,0,0,-1
1328,13005,0,-1,-1
1332,13041,0,-1,-1
1336,13081,0,-1,-1
1340,13117,0,0,-1
1344,13152,-1,-1,-1
1348,13195,0,-1,-1
1352,13236,0,-1,-1
1356,13276,0,0,-1
1360,13317,0,0,-1
1364,13358,0,-1,-1
1368,13398,0,-1,-1
1372,13440,0,0,-1
1376,13484,0,-1,-1
1380,13521,0,-1,-1
1384,13563,0,-1,-1
1388,13607,0,0,-1
1392,13650,-1,-1,-1
1396,13690,0,-1,-1
1400,13732,0,0,-1
1404,13774,0,-1,-1
1408,13816,0,0,-1
1412,13853,0,0,-1
1416,13888,0,-1,-1
1420,13924,0,-1,-1
1424,13960,0,-1,-1
1428,13994,0,0,-1
1432,14033,0,0,-1
1436,14070,0,-1,-1
1440,14109,0,-1,-1
1444,14140,0,0,-1
1448,14179,0,-1,-1
1452,14214,0,0,-1
1456,14251,0,-1,-1
1460,14288,-1,-1,-1
1464,14324,0,-1,-1
1468,14360,0,0,-1
1472,14398,-1,0,-1
1476,14438,0,-1,-1
1480,14483,0,0,-1
1484,14526,0,0,-1
1488,14565,0,0,-1
1492,14608,-1,0,-1
1496,14652,0,-1,-1
1500,14696,0,-1,-1
1504,14738,0,-1,-1
1508,14779,-1,-1,-1
1512,14820,-1,-1,-1
1516,14865,0,-1,-1
1520,14906,0,0,-1
1524,14945,0,0,-1
1528,14990,0,-1,-1
1532,15033,-1,0,-1
1536,15077,0,-1,-1
1540,15111,0,0,-1
1544,15150,0,0,-1
1548,15184,-1,-1,-1
1552,15218,-1,-1,-1
1556,15256,-1,0,-1
1560,15294,-1,0,-1
1564,15330,-1,0,-1
1568,15365,0,-1,-1
1572,15402,0,-1,-1
1576,15442,0,-1,-1
1580,15478,0,-1,-1
1584,15515,0,-1,-1
1588,15550,0,0,-1
1592,15586,0,-1,-1
1596,15619,0,-1,-1
1600,15659,0,-1,-1
1604,15698,0,0,-1
1608,15742,0,0,-1
1612,15783,0,0,-1
1616,15825,0,0,-1
1620,15868,0,-1,-1
1624,15906,0,-1,-1
1628,15948,0,-1,-1
1632,15990,0,0,-1
1636,16033,0,-1,-1
1640,16077,0,0,-1
1644,16115,0,-1,-1
1648,16158,0,0,-1
1652,16196,0,0,-1
1656,16238,0,-1,-1
1660,16281,0,0,-1
1664,16326,-1,-1,-1
1668,16362,0,-1,-1
1672,16400,-1,-1,-1
1676,16437,0,0,-1
1680,16475,-1,-1,-1
1684,16509,0,-1,-1
1688,16550,0,-1,-1
1692,16583,0,-1,-1
1696,16620,0,-1,-1
1700,16656,-1,0,-1
1704,16696,0,-1,-1
1708,16729,0,-1,-1
1712,16769,0,-1,-1
1716,16807,0,-1,-1
1720,16844,0,0,-1
1724,16883,0,0,-1
1728,16919,0,0,-1
1732,16960,0,-1,-1
1736,17000,0,0,-1
1740,17042,0,-1,-1
1744,17081,0,0,0
1748,17124,0,-1,-1
1752,17161,0,-1,-1
1756,17203,0,-1,-1
1760,17245,0,-1,-1
1764,17283,0,-1,-1
1768,17324,0,0,-1
1772,17365,0,0,-1
1776,17402,0,0,-1
1780,17445,0,-1,-1
1784,17485,-1,0,-1
1788,17524,0,0,-1
1792,17564,-1,-1,-1
1796,17600,0,0,-1
1800,17639,0,-1,-1
1804,17675,0,0,-1
1808,17712,0,0,-1
1812,17744,-1,0,-1
1816,17782,0,-1,-1
1820,17819,0,-1,-1
1824,17854,0,0,-1
1828,17892,0,0,-1
1832,17926,0,-1,-1
1836,17961,0,-1,-1
1840,17996,0,-1,-1
1844,18035,0,0,-1
1848,18070,-1,-1,-1
1852,18106,-1,-1,-1
1856,18143,0,0,0
1860,18184,0,0,-1
1864,18225,0,-1,-1
1868,18265,0,-1,-1
1872,18308,0,-1,-1
1876,18348,-1,0,-1
1880,18388,0,-1,-1
1884,18430,-1,0,-1
1888,18473,-1,-1,-1
1892,18515,-1,-1,-1
1896,18555,0,-1,-1
1900,18596,0,0,-1
1904,18639,0,-1,-1
1908,18680,0,-1,-1
1912,18722,0,0,-1
1916,18765,0,-1,-1
1920,18806,0,-1,-1
1924,18842,-1,-1,-1
1928,18878,0,0,-1
1932,18915,0,-1,-1
1936,18953,-1,-1,-1
1940,18991,0,-1,-1
1944,19028,0,-1,-1
1948,19067,-1,-1,-1
1952,19103,0,-1,-1
1956,19139,0,0,-1
1960,19174,0,-1,-1
1964,19213,0,0,-1
1968,19250,0,-1,-1
1972,19288,0,-1,0
1976,19324,0,-1,-1
1980,19361,0,-1,-1
1984,19402,0,-1,-1
1988,19442,0,-1,-1
1992,19482,0,-1,-1
1996,19526,0,-1,-1
2000,19566,0,-1,-1
2004,19609,0,-1,-1
2008,19650,0,-1,-1
2012,19690,0,-1,-1
2016,19732,0,0,-1
2020,19776,0,0,-1
2024,19817,-1,-1,-1
2028,19856,0,-1,-1
2032,19902,0,0,-1
2036,19948,0,-1,-1
2040,19987,0,0,-1
2044,20028,0,0,-1
2048,20071,0,-1,-1
2052,20106,0,0,-1
2056,20142,0,0,-1
2060,20180,0,0,-1
2064,20214,0,-1,-1
2068,20252,0,-1,-1
2072,20288,0,-1,-1
2076,20326,0,-1,-1
2080,20360,0,-1,-1
2084,20394,0,-1,-1
2088,20434,-1,-1,-1
2092,20470,0,0,-1
2096,20508,0,-1,-1
2100,20543,0,-1,-1
2104,20576,0,-1,-1
2108,20615,0,-1,-1
2112,20652,0,0,-1
2116,20693,0,0,-1
2120,20735,0,-1,-1
2124,20773,0,-1,-1
2128,20815,0,-1,-1
2132,20859,0,-1,-1
2136,20901,0,0,-1
2140,20942,0,-1,-1
2144,20982,0,-1,-1
2148,21025,0,0,-1
2152,21068,0,0,-1
2156,21112,0,0,-1
2160,21155,0,-1,-1
2164,21194,0,0,-1
2168,21236,0,0,-1
2172,21282,0,0,-1
2176,21323,0,0,-1
2180,21358,0,0,-1
2184,21396,0,0,-1
2188,21430,0,0,-1
