DAC,ADC0,ADC1,ADC2,ADC3
1148,11296,0,0,-1
1152,11338,0,0,-1
1156,11371,0,-1,-1
1160,11406,0,0,-1
1164,11443,0,-1,-1
1168,11477,0,-1,-1
1172,11514,0,0,0
1176,11552,0,0,-1
1180,11585,0,0,-1
1184,11621,0,0,-1
1188,11654,0,0,-1
1192,11690,0,0,-1
1196,11726,0,0,-1
1200,11762,0,0,-1
1204,11797,0,0,-1
1208,11833,0,0,-1
1212,11868,0,0,-1
1216,11904,0,0,-1
1220,11945,0,0,-1
1224,11989,0,0,-1
1228,12028,0,0,-1
1232,12070,0,0,-1
1236,12113,0,0,-1
1240,12154,0,0,-1
1244,12194,0,0,-1
1248,12238,0,0,-1
1252,12279,0,0,-1
1256,12318,0,0,-1
1260,12358,0,0,-1
1264,12402,0,0,-1
1268,12446,0,0,-1
1272,12486,0,0,-1
1276,12528,1,1,-1
1280,12570,1,0,-1
1284,12608,1,1,-1
1288,12644,1,1,-1
1292,12680,1,1,-1
1296,12715,1,1,-1
1300,12752,1,1,-1
1304,12793,1,1,-1
1308,12827,1,1,-1
1312,12865,2,2,-1
1316,12902,2,2,-1
1320,12940,2,2,-1
1324,12974,2,2,-1
1328,13012,2,2,-1
1332,13047,3,2,-1
1336,13085,3,3,-1
1340,13123,3,3,-1
1344,13159,4,3,-1
1348,13201,4,3,-1
1352,13242,4,4,0
1356,13284,4,4,-1
1360,13326,5,4,-1
1364,13365,5,5,-1
1368,13406,6,6,-1
1372,13447,7,6,-1
1376,13491,7,7,-1
1380,13533,7,7,-1
1384,13573,8,8,-1
1388,13615,9,9,-1
1392,13656,10,10,-1
1396,13697,11,10,-1
1400,13734,12,12,0
1404,13780,13,13,0
1408,13819,14,14,-1
1412,13856,15,15,-1
1416,13893,16,16,-1
1420,13931,18,17,-1
1424,13967,19,19,-1
1428,14003,21,21,-1
1432,14041,22,22,-1
1436,14076,24,24,-1
1440,14111,26,25,-1
1444,14151,28,28,-1
1448,14185,31,30,-1
1452,14224,33,33,-1
1456,14257,36,35,-1
1460,14293,38,38,-1
1464,14331,41,41,-1
1468,14368,44,44,-1
1472,14404,48,48,-1
1476,14446,52,52,-1
1480,14487,57,56,-1
1484,14529,62,62,-1
1488,14572,68,67,-1
1492,14614,73,73,-1
1496,14655,80,80,-1
1500,14696,87,86,-1
1504,14738,94,93,-1
1508,14779,101,101,-1
1512,14822,110,109,-1
1516,14864,118,119,0
1520,14907,129,128,-1
1524,14948,138,137,-1
1528,14988,149,148,0
1532,15034,160,159,-1
1536,15076,172,172,-1
1540,15112,183,182,-1
1544,15148,194,193,-1
1548,15183,205,204,-1
1552,15219,217,216,-1
1556,15254,229,228,-1
1560,15292,242,241,-1
1564,15328,255,253,-1
1568,15363,269,268,-1
1572,15401,283,282,-1
1576,15436,297,296,-1
1580,15471,312,311,-1
1584,15508,328,326,-1
1588,15543,343,342,-1
1592,15578,359,358,-1
1596,15617,375,374,-1
1600,15652,392,390,-1
1604,15692,411,409,-1
1608,15731,432,429,-1
1612,15774,451,450,-1
1616,15815,472,471,-1
1620,15857,494,493,-1
1624,15894,514,512,0
1628,15937,536,534,-1
1632,15980,559,557,-1
1636,16020,581,579,-1
1640,16060,605,603,-1
1644,16101,628,625,-1
1648,16142,652,649,-1
1652,16182,676,673,-1
1656,16223,699,697,-1
1660,16265,724,722,-1
1664,16304,751,747,-1
1668,16341,774,771,-1
1672,16377,795,793,-1
1676,16416,819,816,-1
1680,16450,842,839,-1
1684,16486,866,861,-1
1688,16521,889,885,-1
1692,16560,912,909,-1
1696,16598,938,934,-1
1700,16632,960,958,-1
1704,16667,984,981,-1
1708,16706,1012,1007,-1
1712,16740,1034,1030,-1
1716,16777,1058,1055,-1
1720,16815,1085,1082,-1
1724,16848,1110,1105,-1
1728,16887,1136,1130,0
1732,16926,1162,1159,-1
1736,16966,1191,1188,-1
1740,17005,1218,1216,0
1744,17040,1247,1242,-1
1748,17081,1276,1270,-1
1752,17120,1303,1298,0
1756,17160,1331,1327,-1
1760,17200,1361,1356,-1
1764,17239,1390,1385,-1
1768,17281,1421,1414,-1
1772,17320,1449,1444,0
1776,17359,1478,1474,-1
1780,17398,1509,1504,0
1784,17434,1539,1531,-1
1788,17473,1568,1562,-1
1792,17516,1598,1592,-1
1796,17549,1624,1619,0
1800,17586,1653,1649,-1
1804,17622,1681,1674,-1
1808,17654,1706,1699,-1
1812,17692,1734,1727,-1
1816,17725,1759,1755,-1
1820,17761,1787,1782,-1
1824,17797,1816,1808,-1
1828,17829,1841,1835,-1
1832,17867,1869,1863,-1
1836,17900,1896,1891,-1
1840,17935,1924,1918,-1
1844,17967,1953,1945,-1
1848,18005,1980,1973,-1
1852,18039,2008,2001,-1
1856,18073,2034,2027,-1
1860,18113,2068,2060,0
1864,18151,2099,2091,0
1868,18192,2132,2123,0
1872,18235,2163,2157,-1
1876,18275,2198,2189,-1
1880,18313,2229,2223,-1
1884,18353,2262,2253,0
1888,18391,2294,2286,0
1892,18433,2329,2319,-1
1896,18477,2361,2352,-1
1900,18514,2392,2385,-1
1904,18553,2427,2416,-1
1908,18594,2461,2451,-1
1912,18636,2492,2483,-1
1916,18676,2525,2518,-1
1920,18715,2559,2551,-1
1924,18752,2591,2581,-1
1928,18786,2620,2610,0
1932,18825,2651,2642,-1
1936,18859,2678,2670,-1
1940,18894,2709,2701,0
1944,18930,2742,2731,-1
1948,18967,2772,2761,-1
1952,19003,2802,2791,0
1956,19039,2834,2824,-1
1960,19075,2863,2853,-1
1964,19109,2895,2883,-1
1968,19146,2925,2913,-1
1972,19181,2953,2942,-1
1976,19215,2984,2975,0
1980,19253,3017,3004,-1
1984,19286,3048,3035,-1
1988,19328,3080,3069,0
1992,19368,3114,3104,0
1996,19409,3152,3141,-1
2000,19449,3185,3173,-1
2004,19491,3222,3209,0
2008,19530,3256,3242,-1
2012,19570,3287,3276,-1
2016,19611,3324,3314,0
2020,19651,3358,3348,-1
2024,19689,3395,3383,0
2028,19733,3432,3418,-1
2032,19772,3465,3454,-1
2036,19814,3501,3491,-1
2040,19853,3538,3526,-1
2044,19892,3574,3561,0
2048,19935,3611,3596,0
2052,19971,3642,3627,-1
2056,20006,3669,3659,-1
2060,20039,3703,3689,-1
2064,20074,3733,3717,0
2068,20109,3765,3750,-1
2072,20145,3794,3780,0
2076,20177,3824,3813,0
2080,20214,3857,3842,0
2084,20247,3886,3873,0
2088,20282,3917,3905,-1
2092,20319,3948,3935,0
2096,20353,3980,3970,0
2100,20386,4012,3998,-1
2104,20421,4043,4026,0
2108,20460,4075,4059,-1
2112,20493,4105,4090,-1
2116,20534,4140,4127,0
2120,20575,4179,4163,0
2124,20614,4216,4198,-1
2128,20654,4251,4234,0
2132,20696,4286,4272,0
2136,20735,4323,4308,0
