Index,deltaT_us,distance_cm,timestamp_ms
9,5769.0,98.94,519.0
10,5815.0,99.73,575.0
11,5809.0,99.62,632.0
12,5786.0,99.23,690.0
13,5809.0,99.62,747.0
14,5815.0,99.73,804.0
15,5744.0,98.51,861.0
16,5763.0,98.84,918.0
17,5763.0,98.84,975.0
18,5786.0,99.23,1033.0
19,5469.0,93.79,1089.0
20,5763.0,98.84,1146.0
21,5737.0,98.39,1204.0
22,5808.0,99.61,1261.0
23,5791.0,99.32,1317.0
24,5739.0,98.42,1375.0
25,5808.0,99.61,1432.0
26,5738.0,98.41,1489.0
27,5809.0,99.62,1547.0
28,5791.0,99.32,1603.0
29,5768.0,98.92,1660.0
30,5738.0,98.41,1718.0
31,5809.0,99.62,1775.0
32,5763.0,98.84,1832.0
33,5246.0,89.97,1889.0
34,5589.0,95.85,1946.0
35,5769.0,98.94,2002.0
36,5719.0,98.08,2060.0
37,5785.0,99.21,2117.0
38,5689.0,97.57,2174.0
39,5785.0,99.21,2232.0
40,5769.0,98.94,2288.0
41,5791.0,99.32,2345.0
42,5785.0,99.21,2403.0
43,5808.0,99.61,2460.0
44,5736.0,98.37,2518.0
45,5785.0,99.21,2575.0
46,5744.0,98.51,2631.0
47,5784.0,99.2,2689.0
48,5688.0,97.55,2746.0
49,5808.0,99.61,2803.0
50,5785.0,99.21,2861.0
51,5768.0,98.92,2917.0
52,5744.0,98.51,2974.0
53,5807.0,99.59,3032.0
54,5785.0,99.21,3089.0
55,5784.0,99.2,3146.0
56,5742.0,98.48,3204.0
57,5790.0,99.3,3260.0
58,5737.0,98.39,3317.0
59,5830.0,99.98,3375.0
60,5761.0,98.8,3432.0
61,5618.0,96.35,3488.0
62,5742.0,98.48,3546.0
63,5761.0,98.8,3603.0
64,5807.0,99.59,3660.0
65,5784.0,99.2,3718.0
66,5762.0,98.82,3775.0
67,5619.0,96.37,3831.0
68,5761.0,98.8,3889.0
69,5785.0,99.21,3946.0
70,5737.0,98.39,4003.0
