Index,deltaT_us,distance_cm,timestamp_ms
9,2853.0,48.93,489.0
10,2848.0,48.84,543.0
11,2848.0,48.84,598.0
12,2849.0,48.86,652.0
13,2848.0,48.84,706.0
14,2848.0,48.84,760.0
15,2847.0,48.83,815.0
16,2849.0,48.86,869.0
17,2849.0,48.86,923.0
18,2849.0,48.86,977.0
19,2854.0,48.95,1031.0
20,2854.0,48.95,1085.0
21,2855.0,48.96,1139.0
22,2871.0,49.24,1193.0
23,2871.0,49.24,1248.0
24,2871.0,49.24,1302.0
25,2848.0,48.84,1356.0
26,2849.0,48.86,1411.0
27,2849.0,48.86,1465.0
28,2849.0,48.86,1519.0
29,2871.0,49.24,1573.0
30,2848.0,48.84,1628.0
31,2848.0,48.84,1682.0
32,2849.0,48.86,1736.0
33,2849.0,48.86,1790.0
34,2848.0,48.84,1845.0
35,2849.0,48.86,1899.0
36,2849.0,48.86,1953.0
37,2850.0,48.88,2008.0
38,2854.0,48.95,2062.0
39,2856.0,48.98,2115.0
40,2856.0,48.98,2169.0
41,2857.0,49.0,2224.0
42,2850.0,48.88,2278.0
43,2850.0,48.88,2332.0
44,2850.0,48.88,2386.0
45,2848.0,48.84,2441.0
46,2848.0,48.84,2495.0
47,2848.0,48.84,2549.0
48,2850.0,48.88,2604.0
49,2849.0,48.86,2658.0
50,2849.0,48.86,2712.0
51,2849.0,48.86,2766.0
52,2850.0,48.88,2821.0
53,2848.0,48.84,2875.0
54,2849.0,48.86,2929.0
55,2850.0,48.88,2983.0
56,2848.0,48.84,3038.0
57,2848.0,48.84,3092.0
58,2854.0,48.95,3145.0
59,2856.0,48.98,3200.0
60,2856.0,48.98,3254.0
61,2850.0,48.88,3308.0
62,2850.0,48.88,3362.0
63,2849.0,48.86,3417.0
64,2850.0,48.88,3471.0
65,2850.0,48.88,3525.0
66,2850.0,48.88,3579.0
67,2848.0,48.84,3634.0
68,2850.0,48.88,3688.0
69,2850.0,48.88,3742.0
70,2850.0,48.88,3796.0
71,2850.0,48.88,3851.0
72,2849.0,48.86,3905.0
73,2850.0,48.88,3959.0
74,2850.0,48.88,4014.0
75,2849.0,48.86,4068.0
76,2850.0,48.88,4122.0
77,2855.0,48.96,4175.0
78,2855.0,48.96,4230.0
79,2856.0,48.98,4284.0
80,2850.0,48.88,4338.0
81,2849.0,48.86,4392.0
82,2849.0,48.86,4447.0
83,2850.0,48.88,4501.0
84,2849.0,48.86,4555.0
85,2849.0,48.86,4610.0
86,2850.0,48.88,4664.0
87,2848.0,48.84,4718.0
88,2849.0,48.86,4772.0
89,2849.0,48.86,4827.0
90,2847.0,48.83,4881.0
91,2850.0,48.88,4935.0
92,2849.0,48.86,4989.0
93,2872.0,49.25,5044.0
94,2872.0,49.25,5098.0
95,2850.0,48.88,5152.0
96,2850.0,48.88,5207.0
97,2856.0,48.98,5260.0
98,2856.0,48.98,5314.0
99,2855.0,48.96,5368.0
100,2857.0,49.0,5423.0
101,2849.0,48.86,5477.0
102,2849.0,48.86,5531.0
103,2850.0,48.88,5585.0
104,2849.0,48.86,5640.0
105,2850.0,48.88,5694.0
106,2850.0,48.88,5748.0
107,2849.0,48.86,5803.0
108,2848.0,48.84,5857.0
109,2850.0,48.88,5911.0
110,2848.0,48.84,5965.0
111,2851.0,48.89,6020.0
112,2851.0,48.89,6074.0
113,2850.0,48.88,6128.0
114,2851.0,48.89,6182.0
115,2850.0,48.88,6237.0
116,2850.0,48.88,6291.0
117,2850.0,48.88,6345.0
118,2849.0,48.86,6400.0
119,2850.0,48.88,6454.0
120,2850.0,48.88,6508.0
121,2851.0,48.89,6562.0
122,2850.0,48.88,6617.0
123,2850.0,48.88,6671.0
124,2850.0,48.88,6725.0
125,2850.0,48.88,6779.0
126,2850.0,48.88,6834.0
127,2851.0,48.89,6888.0
128,2851.0,48.89,6942.0
129,2848.0,48.84,6996.0
130,2850.0,48.88,7051.0
131,2850.0,48.88,7105.0
132,2849.0,48.86,7159.0
133,2849.0,48.86,7214.0
134,2850.0,48.88,7268.0
135,2850.0,48.88,7322.0
136,2850.0,48.88,7376.0
137,2850.0,48.88,7431.0
138,2872.0,49.25,7485.0
139,2849.0,48.86,7539.0
140,2850.0,48.88,7593.0
141,2850.0,48.88,7648.0
142,2848.0,48.84,7702.0
143,2849.0,48.86,7756.0
144,2849.0,48.86,7811.0
145,2850.0,48.88,7865.0
146,2850.0,48.88,7919.0
147,2850.0,48.88,7973.0
148,2850.0,48.88,8028.0
149,2848.0,48.84,8082.0
150,2849.0,48.86,8136.0
