DAC,ADC0,ADC1,ADC2,ADC3
1148,11290,0,-1,-1
1152,11329,0,-1,-1
1156,11366,0,0,-1
1160,11403,0,-1,-1
1164,11438,0,-1,-1
1168,11473,0,0,-1
1172,11507,0,-1,-1
1176,11542,-1,0,-1
1180,11576,-1,-1,-1
1184,11615,0,0,-1
1188,11649,0,-1,-1
1192,11684,0,-1,-1
1196,11721,0,-1,-1
1200,11756,0,0,-1
1204,11794,0,0,-1
1208,11826,0,-1,-1
1212,11863,0,0,-1
1216,11898,0,0,-1
1220,11940,0,0,-1
1224,11983,0,0,-1
1228,12024,0,0,-1
1232,12066,0,0,-1
1236,12104,0,0,-1
1240,12149,0,-1,0
1244,12188,0,0,-1
1248,12231,0,-1,-1
1252,12275,0,0,-1
1256,12313,0,0,-1
1260,12355,0,0,-1
1264,12399,0,0,-1
1268,12441,0,0,-1
1272,12479,0,0,-1
1276,12522,0,0,-1
1280,12563,0,0,-1
1284,12600,0,0,0
1288,12641,0,0,-1
1292,12676,0,0,-1
1296,12710,0,0,-1
1300,12747,1,0,-1
1304,12786,1,0,-1
1308,12822,1,0,-1
1312,12861,1,1,-1
1316,12894,1,1,-1
1320,12933,1,1,-1
1324,12967,1,1,-1
1328,13006,1,1,-1
1332,13041,2,2,-1
1336,13081,2,2,-1
1340,13116,3,3,-1
1344,13152,3,2,-1
1348,13194,3,3,-1
1352,13234,4,3,-1
1356,13278,5,4,-1
1360,13320,5,5,-1
1364,13360,6,6,-1
1368,13401,7,7,-1
1372,13441,8,8,-1
1376,13483,10,9,-1
1380,13525,11,11,-1
1384,13567,13,13,-1
1388,13608,15,15,-1
1392,13649,17,17,-1
1396,13691,20,20,-1
1400,13731,23,23,-1
1404,13772,27,26,-1
1408,13813,30,30,-1
1412,13851,34,34,-1
1416,13886,38,38,-1
1420,13925,43,42,-1
1424,13960,48,47,-1
1428,13997,54,53,-1
1432,14031,60,58,-1
1436,14068,66,65,-1
1440,14105,73,72,-1
1444,14141,81,80,-1
1448,14179,89,87,-1
1452,14212,98,95,-1
1456,14250,107,105,-1
1460,14286,116,115,-1
1464,14323,127,125,-1
1468,14357,137,135,-1
1472,14395,149,147,-1
1476,14436,163,160,-1
1480,14477,178,175,-1
1484,14521,194,191,-1
1488,14562,210,206,-1
1492,14604,227,222,-1
1496,14645,243,240,-1
1500,14689,262,257,-1
1504,14730,280,275,-1
1508,14771,300,295,-1
1512,14812,319,313,-1
1516,14854,339,334,-1
1520,14897,360,354,-1
1524,14937,382,376,-1
1528,14978,405,397,-1
1532,15020,426,418,-1
1536,15062,449,440,-1
1540,15098,469,460,-1
1544,15135,489,480,-1
1548,15169,510,500,-1
1552,15204,531,521,-1
1556,15240,552,542,-1
1560,15277,573,563,-1
1564,15314,594,586,-1
1568,15349,618,607,-1
1572,15383,639,628,-1
1576,15421,662,650,-1
1580,15454,684,672,-1
1584,15495,707,695,-1
1588,15530,732,718,-1
1592,15566,755,741,-1
1596,15603,779,764,-1
1600,15638,801,787,0
1604,15679,828,814,-1
1608,15716,855,842,-1
1612,15760,884,867,-1
1616,15798,911,894,-1
1620,15841,938,923,-1
1624,15883,967,950,-1
1628,15919,994,976,-1
1632,15964,1024,1005,-1
1636,16003,1053,1033,-1
1640,16043,1080,1062,-1
1644,16085,1111,1092,-1
1648,16125,1138,1120,-1
1652,16164,1167,1147,-1
1656,16205,1198,1176,-1
1660,16246,1227,1205,-1
1664,16288,1257,1235,-1
1668,16323,1284,1261,-1
1672,16360,1311,1288,-1
1676,16397,1338,1315,-1
1680,16437,1366,1342,-1
1684,16472,1393,1370,-1
1688,16505,1420,1395,-1
1692,16542,1447,1423,-1
1696,16579,1475,1449,-1
1700,16615,1500,1475,-1
1704,16650,1529,1503,-1
1708,16688,1557,1531,-1
1712,16723,1586,1558,-1
1716,16760,1613,1585,-1
1720,16797,1641,1613,-1
1724,16834,1670,1641,-1
1728,16871,1698,1669,-1
1732,16910,1729,1699,-1
1736,16949,1759,1729,-1
1740,16988,1790,1759,-1
1744,17028,1821,1790,-1
1748,17068,1852,1820,-1
1752,17106,1883,1849,-1
1756,17145,1912,1878,-1
1760,17185,1945,1909,-1
1764,17224,1974,1941,-1
1768,17263,2007,1972,-1
1772,17302,2039,2003,-1
1776,17342,2071,2032,-1
1780,17382,2101,2066,-1
1784,17424,2133,2098,-1
1788,17464,2166,2129,-1
1792,17501,2200,2159,-1
1796,17535,2226,2187,-1
1800,17570,2255,2215,-1
1804,17605,2282,2244,-1
1808,17640,2312,2273,-1
1812,17674,2341,2299,-1
1816,17710,2370,2328,-1
1820,17744,2399,2358,-1
1824,17781,2427,2386,-1
1828,17816,2455,2414,-1
1832,17849,2485,2441,-1
1836,17885,2514,2469,-1
1840,17920,2541,2497,-1
1844,17955,2571,2526,-1
1848,17989,2600,2556,-1
1852,18024,2629,2583,-2
1856,18056,2658,2611,-1
1860,18099,2691,2644,-1
1864,18139,2724,2678,-1
1868,18179,2759,2711,-1
1872,18218,2791,2742,-1
1876,18259,2826,2774,-1
1880,18299,2860,2810,-1
1884,18339,2890,2843,-1
1888,18383,2927,2876,-1
1892,18418,2962,2908,-1
1896,18462,2994,2942,-1
1900,18501,3027,2976,-1
1904,18541,3060,3010,-1
1908,18579,3096,3043,-1
1912,18619,3131,3075,-1
1916,18661,3164,3111,-1
1920,18699,3197,3143,-1
1924,18735,3228,3175,-1
1928,18770,3260,3204,-1
1932,18808,3291,3235,-1
1936,18841,3321,3265,-1
1940,18882,3350,3295,-1
1944,18918,3383,3327,-1
1948,18954,3418,3358,-1
1952,18987,3446,3387,-1
1956,19025,3477,3417,-1
1960,19063,3508,3447,-1
1964,19096,3537,3477,-2
1968,19131,3568,3509,-1
1972,19167,3601,3539,-1
1976,19207,3633,3571,-1
1980,19240,3662,3598,-2
1984,19277,3692,3630,-1
